stock_code,parent_stock_type,parent_stock_code,stock_available
GL32048X-RED-QS,Chemise,GL32048X,1,"Glitter\32048X-RED-F.jpg","Glitter\32048X-RED-B.jpg"
GL32052X-BLK-QS,Chemise,GL32052X,3,"Glitter\32052X-BLAC-F.jpg","Glitter\32052X-BLAC-B.jpg"
GL33005-BLK-L,Babydoll,GL33005,2,"Glitter\33005-BLAC-F.jpg","Glitter\33005-BLAC-B.jpg"
GL33005-BLK-M,Babydoll,GL33005,2,"Glitter\33005-BLAC-F.jpg","Glitter\33005-BLAC-B.jpg"
GL33005-BLK-S,Babydoll,GL33005,2,"Glitter\33005-BLAC-F.jpg","Glitter\33005-BLAC-B.jpg"
GL33005-BLK-XL,Babydoll,GL33005,2,"Glitter\33005-BLAC-F.jpg","Glitter\33005-BLAC-B.jpg"
GL33010-WHT-OS,Babydoll,GL33010,2,"Glitter\33010-WHIT-F.jpg","Glitter\33010-WHIT-B-2.jpg"
GL33010-BLK-OS,Babydoll,GL33010,1,"Glitter\33010-BLAC-F.jpg","Glitter\33010-BLAC-B.jpg"
GL34012X-RED-QS,"Bedroom Costume",GL34012X,1,"Glitter\34012X-RED-F.jpg","Glitter\34012X-RED-B.jpg"
GL34013-RED-OS,"Bra Set",GL34013,0,"Glitter\34013-RED-F.jpg","Glitter\34013-RED-B.jpg"
GL34026-NVY-L,"Bra Set",GL34026,1,"Glitter\34026-NAVY-F.jpg","Glitter\34026-NAVY-B.jpg"
GL34026-NVY-M,"Bra Set",GL34026,1,"Glitter\34026-NAVY-F.jpg","Glitter\34026-NAVY-B.jpg"
GL34026-NVY-S,"Bra Set",GL34026,2,"Glitter\34026-NAVY-F.jpg","Glitter\34026-NAVY-B.jpg"
GL32032X-PNK-QS,Dress,GL32032X,2,"Glitter\32032X-PINK-F.jpg","Glitter\32032X-PINK-B.jpg"
GL32060X-PNK-QS,Chemise,GL32060X,2,"Glitter\32060X-HOPI-F.jpg","Glitter\32060X-HOPI-B.jpg"
GL32062-NVY-OS,Chemise,GL32062,1,"Glitter\32062-NAVY-F.jpg","Glitter\32062-NAVY-B.jpg"
GL32063-RED-OS,Chemise,GL32063,2,"Glitter\32063-RED-F.jpg","Glitter\32063-RED-B.jpg"
GL32069-BLK-OS,Chemise,GL32069,0,"Glitter\32069-BLAC-F.jpg","Glitter\32069-BLAC-B.jpg"
GL32077-BLK-OS,Chemise,GL32077,1,"Glitter\32077-BLAC-F.jpg","Glitter\32077-BLAC-B.jpg"
GL32080-BLK-OS,Chemise,GL32080,7,"Glitter\32080-BLAC-F.jpg","Glitter\32080-BLAC-B.jpg"
GL32125X-BLK-QS,Chemise,GL32125X,1,"Glitter\32125X-BLAC-F.jpg","Glitter\32125X-BLAC-B.jpg"
GL34029-BLK-L,"Bra Set",GL34029,1,"Glitter\34029-BLAC-F.jpg","Glitter\34029-BLAC-B.jpg"
GL34029-BLK-M,"Bra Set",GL34029,1,"Glitter\34029-BLAC-F.jpg","Glitter\34029-BLAC-B.jpg"
GL34029-BLK-XL,"Bra Set",GL34029,1,"Glitter\34029-BLAC-F.jpg","Glitter\34029-BLAC-B.jpg"
GL34036X-BLK-1X,"Bra Set",GL34036X,2,"Glitter\34036X-BLAC-F.jpg","Glitter\34036X-BLAC-B.jpg"
GL34036X-BLK-2X,"Bra Set",GL34036X,2,"Glitter\34036X-BLAC-F.jpg","Glitter\34036X-BLAC-B.jpg"
GL34036X-BLK-3X,"Bra Set",GL34036X,1,"Glitter\34036X-BLAC-F.jpg","Glitter\34036X-BLAC-B.jpg"
GL34044-RED-L,"Bra Set",GL34044,2,"Glitter\34044-RED-F.jpg","Glitter\34044-RED-B.jpg"
GL34044-RED-S,"Bra Set",GL34044,2,"Glitter\34044-RED-F.jpg","Glitter\34044-RED-B.jpg"
GL34044-RED-XL,"Bra Set",GL34044,2,"Glitter\34044-RED-F.jpg","Glitter\34044-RED-B.jpg"
GL35020-BLK-OS,Teddy,GL35020,1,"Glitter\35020-BLAC-F.jpg","Glitter\35020-BLAC-B.jpg"
GL35026-BLK-OS,Teddy,GL35026,4,"Glitter\35026-BLAC-F"
GL35033-HPNK/BLK-OS,Teddy,GL35033,5,"Glitter\35033-HOPI-F.jpg","Glitter\35033-HOPI-B.jpg"
GL35040-BLK-OS,Teddy,GL35040,3,"Glitter\35040-BLAC-F.jpg","Glitter\35040-BLAC-B.jpg"
GL35048-BLK-OS,Teddy,GL35048,2,"Glitter\35048-BLAC-F.jpg","Glitter\35048-BLAC-B.jpg"
