stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR1046-BLK-S/M,"Crotchless Frills Panty - Black Small/Medium",Panty,RR1046,3,"Rene\1046-BLK","Rene\1046-BLK-B.jpg"
RR1047-BLK-M/L,"Crotchless Femme Fatal Panty - Black Medium/Large",Panty,RR1047,20,"Rene\1047-BLK-front","Rene\1047-BLK-rear.jpg"
RR1048-BLK-M/L,"Crotchless Cage Back Boyleg - Black Medium/Large",Boyshort,RR1048,24,"Rene\1048-BLK-front","Rene\1048-BLK-rear.jpg"
RR1048-BLK-S/M,"Crotchless Cage Back Boyleg - Black Small/Medium",Boyshort,RR1048,24,"Rene\1048-BLK-front","Rene\1048-BLK-rear.jpg"
RR1050-BLK-S/M,"Crotchless Lace Love Story Thn - Black Small/Medium",Thong,RR1050,0,"Rene\1050-BLK-front","Rene\1050-BLK-rear.jpg"
RR1050-BLK-M/L,"Crotchless Lace Love Story Thn - Black Medium/Large",Thong,RR1050,6,"Rene\1050-BLK-front","Rene\1050-BLK-rear.jpg"
RR1051-BLK-M/L,"Crotchless Cutting Edge Boyleg - Black Medium/Large",Boyshort,RR1051,1,"Rene\1051-BLK-front","Rene\1051-BLK-rear.jpg"
RR1059-BLK-M/L,"Lace Garter Belt - Black Medium/Large",Garterbelt,RR1059,7,"Rene\1059-BLK","Rene\1059-BLK-B.jpg"
RR1059-BLK-S/M,"Lace Garter Belt - Black Small/Medium",Garterbelt,RR1059,10,"Rene\1059-BLK","Rene\1059-BLK-B.jpg"
RR1059-WHT-M/L,"Lace Garter Belt - White Medium/Large",Garterbelt,RR1059,28,"Rene\1059-WHT","Rene\1059-WHT-B.jpg"
RR1059-WHT-S/M,"Lace Garter Belt - White Small/Medium",Garterbelt,RR1059,17,"Rene\1059-WHT","Rene\1059-WHT-B.jpg"
RR1061-BLK-M/L,"Crotchless Boyshort With Lace Window - Black Medium/Large",Boyshort,RR1061,4,"Rene\RR1061-BLK_01","Rene\RR1061-BLK_02.jpg"
RR1061-BLK-S/M,"Crotchless Boyshort With Lace Window - Black Small/Medium",Boyshort,RR1061,29,"Rene\RR1061-BLK_01","Rene\RR1061-BLK_02.jpg"
RR1062-BLK-M/L,"Rhinestone Garter Belt - Black Medium/Large",Garterbelt,RR1062,133,"Rene\RR1062-BLK_01","Rene\RR1062-BLK_02.jpg"
RR1062-BLK-S/M,"Rhinestone Garter Belt - Black Small/Medium",Garterbelt,RR1062,35,"Rene\RR1062-BLK_01","Rene\RR1062-BLK_02.jpg"
RR1064-BLK-M/L,"Straps Only Panty - Black Medium/Large",Panty,RR1064,19,"Rene\1064-BLK","Rene\1064-BLK-B.jpg"
RR1065-NDE-M/L,"Nude Open Back Panty - Nude Medium/Large",Panty,RR1065,0,"Rene\RR1065_010_01","Rene\RR1065_010_02.jpg"
