stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR512075-RED-XL,"Lace Up Bustier W/Garters G-St - Red X-Large","Bustiers & Corsets",RR512075,22,"Rene\512075-RED","Rene\512075-B.jpg"
RR512076-PUR-S,"Secret Garden Embossed Rose Bustier & G - Purple Small","Bustiers & Corsets",RR512076,2,"Rene\512076","Rene\512076-B.jpg"
RR512078-BLK-L,"Maiden of The Morning Mesh Chemise & G S - Black Large",Chemise,RR512078,2,"Rene\512078","Rene\512078-B.jpg"
RR512078-BLK-M,"Maiden of The Morning Mesh Chemise & G S - Black Medium",Chemise,RR512078,2,"Rene\512078","Rene\512078-B.jpg"
RR512078-BLK-S,"Maiden of The Morning Mesh Chemise & G S - Black Small",Chemise,RR512078,1,"Rene\512078","Rene\512078-B.jpg"
RR512078-BLK-XL,"Maiden of The Morning Mesh Chemise & G S - Black X-Large",Chemise,RR512078,5,"Rene\512078","Rene\512078-B.jpg"
RR512079-PNK-M,"Rites of Spring Lace Trim Bustier & G St - Pink Medium",Chemise,RR512079,6,"Rene\512079","Rene\512079-B.jpg"
RR512079-PNK-S,"Rites of Spring Lace Trim Bustier & G St - Pink Small",Chemise,RR512079,8,"Rene\512079","Rene\512079-B.jpg"
RR512079-PNK-XL,"Rites of Spring Lace Trim Bustier & G St - Pink X-Large",Chemise,RR512079,10,"Rene\512079","Rene\512079-B.jpg"
RR512079-PNK-L,"Rites of Spring Lace Trim Bustier & G St - Pink Large",Chemise,RR512079,0,"Rene\512079","Rene\512079-B.jpg"
RR512080-BLK-S/M,"Flooral & Mesh Chemise & - Black Small/Medium",Chemise,RR512080,3,"Rene\512080-BLK","Rene\512080-BLK-B.jpg"
RR512081-BLK-M/L,"Chemise W Embroidered Cups Set - Black Medium/Large",Chemise,RR512081,10,"Rene\512081-BLK","Rene\512081-BLK-B.jpg"
RR512081-BLK-S/M,"Chemise W Embroidered Cups Set - Black Small/Medium",Chemise,RR512081,12,"Rene\512081-BLK","Rene\512081-BLK-B.jpg"
RR512082-BLK-S/M,"Floral Lace Chemise W/G-String - Black Small/Medium",Chemise,RR512082,18,"Rene\512082-BLK","Rene\512082-BLK-B.jpg"
RR512082-RED-M/L,"Floral Lace Chemise W/G-String - Red Medium/Large",Chemise,RR512082,10,"Rene\512082-RED","Rene\512082-RED-B.jpg"
RR512082-RED-S/M,"Floral Lace Chemise W/G-String - Red Small/Medium",Chemise,RR512082,8,"Rene\512082-RED","Rene\512082-RED-B.jpg"
RR512083-PNK-M/L,"3 Pc Mesh Chemise & G-String Set - Pink Medium/Large",Chemise,RR512083,200,"Rene\512083-PNK","Rene\512083-PNK-B.jpg"
RR512083-PNK-S/M,"2 Pc Mesh Chemise & G-String Set - Pink Small/Medium",Chemise,RR512083,202,"Rene\512083-PNK","Rene\512083-PNK-B.jpg"
RR512084-BLK-M/L,"2Pcs Lace Mesh Garter Chem & G - Black Medium/Large",Chemise,RR512084,92,"Rene\512084-BLK","Rene\512084-BLK-B.jpg"
RR512084-BLK-S/M,"2Pcs Lace Mesh Garter Chem & G - Black Small/Medium",Chemise,RR512084,72,"Rene\512084-BLK","Rene\512084-BLK-B.jpg"
RR512086-BLK-S/M,"2 Pc Bow Tie Chemise & G-String Set - Black Small/Medium",Chemise,RR512086,9,"Rene\512086-BLK","Rene\512086-BLK-B.jpg"
RR512087-BLK-M/L,"2Pcs Mesh Chemise & G-String S - Black Medium/Large",Chemise,RR512087,166,"Rene\512087-BLK","Rene\512087-BLK-B.jpg"
RR512087-BLK-S/M,"2Pcs Mesh Chemise & G-String S - Black Small/Medium",Chemise,RR512087,166,"Rene\512087-BLK","Rene\512087-BLK-B.jpg"
RR512090-RED-M/L,"2Pc Floral Lace Chemise & G Se - Red Medium/Large",Chemise,RR512090,10,"Rene\512090-RED","Rene\512090-RED-B.jpg"
RR512090-RED-S/M,"2Pc Floral Lace Chemise & G Se - Red Small/Medium",Chemise,RR512090,8,"Rene\512090-RED","Rene\512090-RED-B.jpg"
RR512090-BLK-M/L,"2Pc Floral Lace Chemise & G Se - Black Medium/Large",Chemise,RR512090,13,"Rene\512090-BLK","Rene\512090-BLK-B.jpg"
RR512091-NUD-M/L,"2Pc Lace Mesh Chemise & G Set - Nude Medium/Large",Chemise,RR512091,4,"Rene\512091-NUD","Rene\512091-NUD-B.jpg"
RR512095-RED-L,"Red Rider - Red Large","Bustiers & Corsets",RR512095,3,"Rene\512095-RED","Rene\512095-RED-B.jpg"
RR512095-RED-M,"Red Rider - Red Medium","Bustiers & Corsets",RR512095,0,"Rene\512095-RED","Rene\512095-RED-B.jpg"
RR512095-RED-XL,"Red Rider - Red X-Large","Bustiers & Corsets",RR512095,1,"Rene\512095-RED","Rene\512095-RED-B.jpg"
RR512097-BLK-L,"Nude Ambition - Black Large","Bustiers & Corsets",RR512097,3,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512097-BLK-M,"Nude Ambition - Black Medium","Bustiers & Corsets",RR512097,1,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512097-BLK-S,"Nude Ambition - Black Small","Bustiers & Corsets",RR512097,10,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512097-BLK-XL,"Nude Ambition - Black X-Large","Bustiers & Corsets",RR512097,4,"Rene\512097-BLK","Rene\512097-BLK-B.jpg"
RR512098-BLK-M,"Starlight Dancer - Black Medium","Bustiers & Corsets",RR512098,7,"Rene\512098-BLK","Rene\512098-BLK-B.jpg"
RR512099-PNK-L,"Desert Rose - Pink Large","Bustiers & Corsets",RR512099,3,"Rene\512099-PNK","Rene\512099-PNK-B.jpg"
RR512099-PNK-XL,"Desert Rose - Pink X-Large","Bustiers & Corsets",RR512099,3,"Rene\512099-PNK","Rene\512099-PNK-B.jpg"
RR512099-PNK-S,"Desert Rose - Pink Small","Bustiers & Corsets",RR512099,6,"Rene\512099-PNK","Rene\512099-PNK-B.jpg"
RR512100-BLK-M/L,"2Pc Lace Chem & G-Str W/Rem Gr - Black Medium/Large",Chemise,RR512100,6,"Rene\512100-BLK","Rene\512100-BLK-B.jpg"
RR512100-BLK-S/M,"2Pc Lace Chem & G-Str W/Rem Gr - Black Small/Medium",Chemise,RR512100,4,"Rene\512100-BLK","Rene\512100-BLK-B.jpg"
RR512101-BLK-M/L,"2Pc Lace & F'Net Grt Chem & Gs - Black Medium/Large",Chemise,RR512101,6,"Rene\512101-BLK","Rene\512101-BLK-B.jpg"
RR512101-BLK-S/M,"2Pc Lace & F'Net Grt Chem & Gs - Black Small/Medium",Chemise,RR512101,3,"Rene\512101-BLK","Rene\512101-BLK-B.jpg"
RR512102-BLK-M/L,"2Pc Lace Up Front Chemise & Gs - Black Medium/Large",Chemise,RR512102,7,"Rene\512102-BLK","Rene\512102-BLK-B.jpg"
RR512107,,"Bustiers & Corsets",RR512107,0,"Rene\512107-RED","Rene\512107-RED-B.jpg"
RR512109-BLK-M,"Caged Side Bustier W/ G-String - Black Medium","Bustiers & Corsets",RR512109,2,"Rene\512109-BLK","Rene\512109-BLK-B.jpg"
RR512116-BLK-M/L,"2Pc Strappy Seduct Gart Chemis - Black Medium/Large",Chemise,RR512116,95,"Rene\512116-BLK","Rene\512116-BLK-B.jpg"
RR512116-RED-M/L,"2Pc Strappy Seduct Gart Chemis - Red Medium/Large",Chemise,RR512116,131,"Rene\512116-RED","Rene\512116-RED-B.jpg"
RR512116-RED-S/M,"2Pc Strappy Seduct Gart Chemis - Red Small/Medium",Chemise,RR512116,14,"Rene\512116-RED","Rene\512116-RED-B.jpg"
RR512120-BLK-M,"Fetish Bustier And G-String Se - Black Medium","Bustiers & Corsets",RR512120,7,"Rene\512120-BLK","Rene\512120-BLK-B.jpg"
RR512120-BLK-S,"Fetish Bustier And G-String Se - Black Small","Bustiers & Corsets",RR512120,13,"Rene\512120-BLK","Rene\512120-BLK-B.jpg"
RR512120-BLK-XL,"Fetish Bustier And G-String Se - Black X-Large","Bustiers & Corsets",RR512120,0,"Rene\512120-BLK","Rene\512120-BLK-B.jpg"
RR512121-RED-M/L,"2 PC A-List Chemise & G-String Set - Red Medium/Large",Chemise,RR512121,5,"Rene\512121-RED","Rene\512121-RED-B.jpg"
RR512121-RED-S/M,"2 PC A-List Chemise & G-String Set - Red Small/Medium",Chemise,RR512121,3,"Rene\512121-RED","Rene\512121-RED-B.jpg"
RR512127-BLK-M/L,"2Pc Rough Romance Chemise Set - Black Medium/Large",Chemise,RR512127,7,"Rene\512127-BLK","Rene\512127-BLK-B.jpg"
RR512127-BLK-S/M,"2Pc Rough Romance Chemise Set - Black Small/Medium",Chemise,RR512127,7,"Rene\512127-BLK","Rene\512127-BLK-B.jpg"
RR512128-BLK-M/L,"2Pc Caged Chemise & G Set - Black Medium/Large",Chemise,RR512128,5,"Rene\512128-BLK","Rene\512128-BLK-B.jpg"
RR512128-BLK-S/M,"2Pc Caged Chemise & G Set - Black Small/Medium",Chemise,RR512128,1,"Rene\512128-BLK","Rene\512128-BLK-B.jpg"
RR512128-RED-M/L,"2Pc Caged Chemise & G Set - Red Medium/Large",Chemise,RR512128,5,"Rene\512128-RED","Rene\512128-RED-B.jpg"
RR512128-RED-S/M,"2Pc Caged Chemise & G Set - Red Small/Medium",Chemise,RR512128,0,"Rene\512128-RED","Rene\512128-RED-B.jpg"
RR512154-BLK-M/L,"Templt Me Chemise Set - Black Medium/Large",Chemise,RR512154,23,"Rene\512154-BLK","Rene\512154-BLK-B.jpg"
RR512154-BLK-S/M,"Templt Me Chemise Set - Black Small/Medium",Chemise,RR512154,5,"Rene\512154-BLK","Rene\512154-BLK-B.jpg"
RR512158-BLK-M/L,"Midnight Company Chemise - Black Medium/Large",Chemise,RR512158,4,"Rene\512158-BLK","Rene\512158-BLK-B.jpg"
RR512158-BLK-S/M,"Midnight Company Chemise - Black Small/Medium",Chemise,RR512158,2,"Rene\512158-BLK"
RR512165-BLK-M/L,"2Pc Hot Lust Garter Chemise Se - Black Medium/Large",Chemise,RR512165,2,"Rene\512165-BLK-01","Rene\512165-BLK-03.jpg"
RR512166-BLK-M/L,"Seductively Stunning Lace Dres - Black Medium/Large",Dress,RR512166,11,"Rene\512166-BLK-03","Rene\512166-BLK-06.jpg"
RR512166-BLK-S/M,"Seductively Stunning Lace Dres - Black Small/Medium",Dress,RR512166,8,"Rene\512166-BLK-03","Rene\512166-BLK-06.jpg"
RR512171-BLK-M/L,"2Pc Take An Elle Chemise Set - Black Medium/Large",Chemise,RR512171,4,"Rene\512171-BLK-05","Rene\512171-BLK-02.jpg"
RR512171-BLK-S/M,"2Pc Take An Elle Chemise Set - Black Small/Medium",Chemise,RR512171,1,"Rene\512171-BLK-05","Rene\512171-BLK-02.jpg"
RR52001X-BLK-1X/2X,"Micro Manage Chemise Set - Black 1X/2X",Chemise,RR52001X,14,"Rene\52001X-BLK-7599","Rene\52001X-BLK-7624.jpg"
RR52001X-BLK-3X/4X,"Micro Manage Chemise Set - Black 3X/4X",Chemise,RR52001X,10,"Rene\52001X-BLK-7599","Rene\52001X-BLK-7624.jpg"
RR521286-BLK-M/L,"Sparkle Mesh & Lace Babydoll Set - Black Medium/Large",Babydoll,RR521286,25,"Rene\521286-BLK-front"
RR521357-LEO-M/L,"Leopard Chemise & Thong Set - Leopard Medium/Large",Chemise,RR521357,1,"Rene\521357-293-front"
RR522021-BLK-S/M,"Fishnet Dress & G-String - Black Small/Medium",Dress,RR522021,8,"Rene\522021-BLK-front","Rene\522021-BLK-rear.jpg"
RR53001-BLK-M/L,"2Pc Body Jewelry Bra Set - Black Medium/Large","Bra Set",RR53001,14,"Rene\53001-BLK-9437","Rene\53001-BLK-9518.jpg"
RR53001-BLK-S/M,"2Pc Body Jewelry Bra Set - Black Small/Medium","Bra Set",RR53001,10,"Rene\53001-BLK-9437","Rene\53001-BLK-9518.jpg"
RR53002-BLK-M/L,"2Pc Flawless Lace Bra Set - Black Medium/Large","Bra Set",RR53002,4,"Rene\53002-BLK-0766","Rene\53002-BLK-0871.jpg"
RR53002-BLK-S/M,"2Pc Flawless Lace Bra Set - Black Small/Medium","Bra Set",RR53002,0,"Rene\53002-BLK-0766","Rene\53002-BLK-0871.jpg"
RR53003-BLK-M/L,"Night Chain Bondage Bra Set - Black Medium/Large","Bra Set",RR53003,7,"Rene\53003-BLK-0591","Rene\53003-BLK-0641.jpg"
RR53004-BLK-M/L,"Under Pressure Bondage Bra Set - Black Medium/Large","Bra Set",RR53004,4,"Rene\53004-BLK-0058","Rene\53004-BLK-0068.jpg"
RR53004-BLK-S/M,"Under Pressure Bondage Bra Set - Black Small/Medium","Bra Set",RR53004,1,"Rene\53004-BLK-0058","Rene\53004-BLK-0068.jpg"
RR53005,,"Bra Set",RR53005,0,"Rene\53005-BLK-9687.jpg","Rene\53005-BLK-9731.jpg"
RR53007-BLK-M/L,"With Love Half Cup Bra Set - Black Medium/Large","Bra Set",RR53007,8,"Rene\53007-BLK-7409","Rene\53007-BLK-7434.jpg"
RR53007-BLK-S/M,"With Love Half Cup Bra Set - Black Small/Medium","Bra Set",RR53007,0,"Rene\53007-BLK-7409","Rene\53007-BLK-7434.jpg"
RR53007-BUR-M/L,"With Love Half Cup Bra Set - Burgundy Medium/Large","Bra Set",RR53007,8,"Rene\53007-BUR-7246","Rene\53007-BUR-7300.jpg"
RR53007-BUR-S/M,"With Love Half Cup Bra Set - Burgundy Small/Medium","Bra Set",RR53007,8,"Rene\53007-BUR-7246","Rene\53007-BUR-7300.jpg"
RR53008-RED-M/L,"Show Me Off 2Pc Open Bra Set - Red Medium/Large","Bra Set",RR53008,11,"Rene\53008-RED-7028","Rene\53008-RED-7063.jpg"
RR53008-RED-S/M,"Show Me Off 2Pc Open Bra Set - Red Small/Medium","Bra Set",RR53008,11,"Rene\53008-RED-7028","Rene\53008-RED-7063.jpg"
RR53008-BLK-M/L,"Show Me Off 2Pc Open Bra Set - Black Medium/Large","Bra Set",RR53008,12,"Rene\53008-BLK-7157","Rene\53008-BLK-7187.jpg"
RR53008-BLK-S/M,"Show Me Off 2Pc Open Bra Set - Black Small/Medium","Bra Set",RR53008,12,"Rene\53008-BLK-7157","Rene\53008-BLK-7187.jpg"
RR53012-BLK-M/L,"Deepest Desires 3Pc Bra Set - Black Medium/Large","Bra Set",RR53012,21,"Rene\53012-BLK-8124","Rene\53012-BLK-8160.jpg"
RR53012-BLK-S/M,"Deepest Desires 3Pc Bra Set - Black Small/Medium","Bra Set",RR53012,15,"Rene\53012-BLK-8124","Rene\53012-BLK-8160.jpg"
RR53012-NUD-M/L,"Deepest Desires 3Pc Bra Set - Nude Medium/Large","Bra Set",RR53012,33,"Rene\53012-NDE-7932","Rene\53012-NDE-7966.jpg"
RR53012-NUD-S/M,"Deepest Desires 3Pc Bra Set - Nude Small/Medium","Bra Set",RR53012,23,"Rene\53012-NDE-7932","Rene\53012-NDE-7966.jpg"
RR53013-BLK-M/L,"Exquisite Restrictions Bra Set - Black Medium/Large","Bra Set",RR53013,24,"Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0779","Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0717.jpg"
RR53013-BLK-S/M,"Exquisite Restrictions Bra Set - Black Small/Medium","Bra Set",RR53013,29,"Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0779","Rene\53013-BLK-Exquisite-Trap-Crotchless-Panty-0717.jpg"
RR5301X-BLK-1X/2X,"2Pc Lace Choker Boyshort Set - Black 1X/2X","Bra Set",RR5301X,0,"Rene\5301X-BLK-7519","Rene\5301X-BLK-7526.jpg"
RR5301X-BLK-3X/4X,"2Pc Lace Choker Boyshort Set - Black 3X/4X","Bra Set",RR5301X,2,"Rene\5301X-BLK-7519","Rene\5301X-BLK-7526.jpg"
RR532007-BLK-M/L,"2Pc Pearl Lace Bra & G Set - Black Medium/Large","Bra Set",RR532007,55,"Rene\532007-BLK front","Rene\532007-BLK rear.jpg"
RR532007-BLK-S/M,"2Pc Pearl Lace Bra & G Set - Black Small/Medium","Bra Set",RR532007,16,"Rene\532007-BLK front","Rene\532007-BLK rear.jpg"
RR532008-BLK-M/L,"2Pc Lace Peek A Boo & Crotchls - Black Medium/Large","Bra Set",RR532008,0,"Rene\532008-BLK front","Rene\532008-BLK rear.jpg"
RR532008-BLK-S/M,"2Pc Lace Peek A Boo & Crotchls - Black Small/Medium","Bra Set",RR532008,1,"Rene\532008-BLK front","Rene\532008-BLK rear.jpg"
RR532009-BLK-M/L,"2Pc Lace Mesh Bra & G Set W/Gt - Black Medium/Large","Bra Set",RR532009,8,"Rene\532009-BLK front","Rene\532009-BLK rear.jpg"
RR532009-BLK-S/M,"2Pc Lace Mesh Bra & G Set W/Gt - Black Small/Medium","Bra Set",RR532009,0,"Rene\532009-BLK front","Rene\532009-BLK rear.jpg"
RR532015-BLK-M/L,"Fishnet Bra & Skirted G-String - Black Medium/Large","Bra Set",RR532015,3,"Rene\532015-BLK-front","Rene\532015-BLK-back.jpg"
RR532015-BLK-S/M,"Fishnet Bra & Skirted G-String - Black Small/Medium","Bra Set",RR532015,3,"Rene\532015-BLK-front","Rene\532015-BLK-back.jpg"
RR532018-BLK-M/L,"Sequin Bra & G-String Set - Black Medium/Large","Bra Set",RR532018,40,"Rene\532018-BLK-front","Rene\532018-BLK-rear.jpg"
RR532018-BLK-S/M,"Sequin Bra & G-String Set - Black Small/Medium","Bra Set",RR532018,17,"Rene\532018-BLK-front","Rene\532018-BLK-rear.jpg"
RR532023-BLK-M/L,"Lace Bandeau, Apron & G-String - Black Medium/Large","Bra Set",RR532023,13,"Rene\532023-BLK-front","Rene\532023-BLK-rear.jpg"
RR532023-BLK-S/M,"Lace Bandeau, Apron & G-String - Black Small/Medium","Bra Set",RR532023,2,"Rene\532023-BLK-front","Rene\532023-BLK-rear.jpg"
RR532025-BLK-M/L,"2pc Lace & Mesh Bra & Skirted - Black Medium/Large","Bra Set",RR532025,4,"Rene\532025-front","Rene\532025-rear.jpg"
RR532025-BLK-S/M,"2pc Lace & Mesh Bra & Skirted - Black Small/Medium","Bra Set",RR532025,2,"Rene\532025-front","Rene\532025-rear.jpg"
RR532045-BLK-M/L,"2Pc Satin Set Bow Nipp & Short - Black Medium/Large",Accessories,RR532045,68,"Rene\532045-BLK","Rene\532045-BLK-B.jpg"
RR532045-BLK-S/M,"2Pc Satin Set Bow Nipp & Short - Black Small/Medium",Accessories,RR532045,59,"Rene\532045-BLK","Rene\532045-BLK-B.jpg"
RR532047-NDE-M/L,"2-Pc Bra Set With Shiny Hearts - Nude Medium/Large","Bra Set",RR532047,9,"Rene\532047-NUD","Rene\532047-NUD-B.jpg"
RR532047-NDE-S/M,"2-Pc Bra Set With Shiny Hearts - Nude Small/Medium","Bra Set",RR532047,4,"Rene\532047-NUD","Rene\532047-NUD-B.jpg"
RR532048-PNK-M/L,"2Pc Lace Bra Nude Cups & G-Str - Pink Medium/Large","Bra Set",RR532048,0,"Rene\532048-PNK","Rene\532048-PNK-B.jpg"
RR532049-BLK-M/L,"3Pc Lace Garter Set - Black Medium/Large","Bra Set",RR532049,43,"Rene\532049-BLK","Rene\532049-BLK-B.jpg"
RR532049-BLK-S/M,"3Pc Lace Garter Set - Black Small/Medium","Bra Set",RR532049,0,"Rene\532049-BLK","Rene\532049-BLK-B.jpg"
RR532051-BLK-M/L,"Lace Bra & Crotchls Panty Set - Black Medium/Large","Bra Set",RR532051,17,"Rene\532051-BLK","Rene\532051-BLK-B.jpg"
RR532051-BLK-S/M,"Lace Bra & Crotchls Panty Set - Black Small/Medium","Bra Set",RR532051,13,"Rene\532051-BLK","Rene\532051-BLK-B.jpg"
RR532051-RED-M/L,"Lace Bra & Crotchls Panty Set - Red Medium/Large","Bra Set",RR532051,24,"Rene\532051-RED","Rene\532051-RED-B.jpg"
RR532051-RED-S/M,"Lace Bra & Crotchls Panty Set - Red Small/Medium","Bra Set",RR532051,17,"Rene\532051-RED","Rene\532051-RED-B.jpg"
RR532056-BLK-M/L,"2Pc Bow Boudoir Bra & Panty Se - Black Medium/Large","Bra Set",RR532056,29,"Rene\532056-BLK","Rene\532056-BLK-B.jpg"
RR532056-BLK-S/M,"2Pc Bow Boudoir Bra & Panty Se - Black Small/Medium","Bra Set",RR532056,32,"Rene\532056-BLK","Rene\532056-BLK-B.jpg"
RR532057,,"Bra Set",RR532057,0,"Rene\532057-BLK","Rene\532057-BLK-B.jpg"
RR532070-BLK-M/L,"3Pc Lux Lace Garter Set - Black Medium/Large","Bra Set",RR532070,132,"Rene\532070-BLK","Rene\532070-BLK-B.jpg"
RR532070-BLK-S/M,"3Pc Lux Lace Garter Set - Black Small/Medium","Bra Set",RR532070,113,"Rene\532070-BLK","Rene\532070-BLK-B.jpg"
RR532088-BLK-M/L,"2Pc Lace Bra & Thong Garter Se - Black Medium/Large","Bra Set",RR532088,14,"Rene\532088-BLK","Rene\532088-BLK-B.jpg"
RR532093-BLK-M/L,"2 Pc Lace & Mesh Bra & Garter Panty Set - Black Medium/Large","Bra Set",RR532093,3,"Rene\532093-BLK","Rene\532093-BLK-B.jpg"
RR532093-BLK-S/M,"2 Pc Lace & Mesh Bra & Garter Panty Set - Black Small/Medium","Bra Set",RR532093,11,"Rene\532093-BLK","Rene\532093-BLK-B.jpg"
RR532104-BLK-M/L,"2Pc Waspies & G-String - Black Medium/Large","Bustiers & Corsets",RR532104,8,"Rene\532104-BLK","Rene\532104-BLK-B.jpg"
RR532104-BLK-S/M,"2Pc Waspies & G-String - Black Small/Medium","Bustiers & Corsets",RR532104,6,"Rene\532104-BLK","Rene\532104-BLK-B.jpg"
RR532115-BLK-M/L,"2Pc Provocative Lace Bra/Panty - Black Medium/Large","Bra Set",RR532115,12,"Rene\532115-BLK","Rene\532115-BLK-B.jpg"
RR532115-BLK-S/M,"2Pc Provocative Lace Bra/Panty - Black Small/Medium","Bra Set",RR532115,14,"Rene\532115-BLK","Rene\532115-BLK-B.jpg"
RR532118,,"Bra Set",RR532118,33,"Rene\532118-BLK.jpg","Rene\532118-BLK-B.jpg"
RR532119-BLK-M/L,"3Pc Crown Pleasure Garter Set - Black Medium/Large","Bra Set",RR532119,60,"Rene\532119-BLK","Rene\532119-BLK-B.jpg"
RR532119-BLK-S/M,"3Pc Crown Pleasure Garter Set - Black Small/Medium","Bra Set",RR532119,7,"Rene\532119-BLK","Rene\532119-BLK-B.jpg"
RR532123-BLK-M/L,"2 PC Strapped In Bra & Thong Set - Black Medium/Large","Bra Set",RR532123,5,"Rene\532123-BLK","Rene\532123-BLK-B.jpg"
RR532124-BLK-M/L,"Soft Bondage Bra & Panty Set - Black Medium/Large","Bra Set",RR532124,4,"Rene\532124-BLK","Rene\532124-BLK-B.jpg"
RR532124-BLK-S/M,"Soft Bondage Bra & Panty Set - Black Small/Medium","Bra Set",RR532124,0,"Rene\532124-BLK","Rene\532124-BLK-B.jpg"
RR532129-BLK-M/L,"3Pc Crave Me Bra Garter G Set - Black Medium/Large","Bra Set",RR532129,24,"Rene\532129-BLK","Rene\532129-BLK-B.jpg"
RR532129-BLK-S/M,"3Pc Crave Me Bra Garter G Set - Black Small/Medium","Bra Set",RR532129,29,"Rene\532129-BLK","Rene\532129-BLK-B.jpg"
RR532130-BLK-M/L,"2Pc Most Wanted Lace Bra G Set - Black Medium/Large","Bra Set",RR532130,3,"Rene\532130-BLK","Rene\532130-BLK-B.jpg"
RR532131-BLK-M/L,"2Pc Rough Romance Bra & G-Stri - Black Medium/Large","Bra Set",RR532131,14,"Rene\532131-BLK","Rene\532131-BLK-B.jpg"
RR532131-BLK-S/M,"2Pc Rough Romance Bra & G-Stri - Black Small/Medium","Bra Set",RR532131,11,"Rene\532131-BLK","Rene\532131-BLK-B.jpg"
RR532132-BLK-M/L,"2Pc Harness Bra & G-String - Black Medium/Large","Bra Set",RR532132,0,"Rene\532132-BLK","Rene\532132-BLK-B.jpg"
RR532132-RED-M/L,"2Pc Harness Bra & G-String - Red Medium/Large","Bra Set",RR532132,0,"Rene\532132-RED","Rene\532132-RED-B.jpg"
RR532132-RED-S/M,"2Pc Harness Bra & G-String - Red Small/Medium","Bra Set",RR532132,3,"Rene\532132-RED","Rene\532132-RED-B.jpg"
RR532133,,"Bra Set",RR532133,5,"Rene\532133-BLK.jpg","Rene\532133-BLK-B.jpg"
RR532137-BLK-M/L,"3Pc Body Chain Choker-Bra Set - Black Medium/Large","Bra Set",RR532137,4,"Rene\532137-BLK","Rene\532137-BLK-B.jpg"
RR532148,,"Bra Set",RR532148,12,"Rene\532148-BLK.jpg","Rene\532148-BLK-B.jpg"
RR532149-BLK-M/L,"3Pc Chain Harness Bra Set - Black Medium/Large","Bra Set",RR532149,4,"Rene\532149-BLK","Rene\532149-BLK-B.jpg"
RR532149-BLK-S/M,"3Pc Chain Harness Bra Set - Black Small/Medium","Bra Set",RR532149,3,"Rene\532149-BLK","Rene\532149-BLK-B.jpg"
RR532150-BLK-M/L,"3Pc Cuffed Chaos Bra Set - Black Medium/Large","Bra Set",RR532150,5,"Rene\532150-BLK","Rene\532150-BLK-B.jpg"
RR532150-BLK-S/M,"3Pc Cuffed Chaos Bra Set - Black Small/Medium","Bra Set",RR532150,4,"Rene\532150-BLK","Rene\532150-BLK-B.jpg"
RR532151-BLK-M/L,"2Pc Brave Bondage Bra Set - Black Medium/Large","Bra Set",RR532151,0,"Rene\532151-BLK","Rene\532151-BLK-B.jpg"
RR532155-BLK-M/L,"Don't Be Shy Bra Set - Black Medium/Large","Bra Set",RR532155,10,"Rene\532155-BLK","Rene\532155-BLK-B.jpg"
RR532155-BLK-S/M,"Don't Be Shy Bra Set - Black Small/Medium","Bra Set",RR532155,9,"Rene\532155-BLK","Rene\532155-BLK-B.jpg"
RR532156-BLK-M/L,"Net Your Bae Choker Set - Black Medium/Large","Bra Set",RR532156,20,"Rene\532156-BLK","Rene\532156-BLK-B.jpg"
RR532157-BLK-M/L,"Midnight Company Bra Set - Black Medium/Large","Bra Set",RR532157,10,"Rene\532157-BLK","Rene\532157-BLK-B.jpg"
RR532157-BLK-S/M,"Midnight Company Bra Set - Black Small/Medium","Bra Set",RR532157,3,"Rene\532157-BLK","Rene\532157-BLK-B.jpg"
RR532160-BLK-M/L,"Attitude Adjustment Choker Set - Black Medium/Large","Bra Set",RR532160,5,"Rene\532160-BLK","Rene\532160-BLK-B.jpg"
RR532161-BLK-M/L,"Pleats Please Choker Set - Black Medium/Large","Bra Set",RR532161,0,"Rene\532161-BLK","Rene\532161-BLK-B.jpg"
RR532163-BLK-M/L,"Bound For Love Bra Set - Black Medium/Large","Bra Set",RR532163,4,"Rene\532163-BLK","Rene\532163-BLK-B.jpg"
RR532164-BLK-M/L,"Strings N Things Choker Set - Black Medium/Large","Bra Set",RR532164,1,"Rene\532164-BLK","Rene\532164-BLK-B.jpg"
RR532168-BLK-M/L,"2Pc That'S Rich Choker Bra Set - Black Medium/Large","Bra Set",RR532168,35,"Rene\532168-BLK-04","Rene\532168-BLK-05.jpg"
RR532168-BLK-S/M,"2Pc That'S Rich Choker Bra Set - Black Small/Medium","Bra Set",RR532168,2,"Rene\532168-BLK-04","Rene\532168-BLK-05.jpg"
RR532172-BLK-M/L,"2Pc Hot Lust Strappy Bra Set - Black Medium/Large","Bra Set",RR532172,5,"Rene\532172-BLK-01","Rene\532172-BLK-02.jpg"
RR532172-BLK-S/M,"2Pc Hot Lust Strappy Bra Set - Black Small/Medium","Bra Set",RR532172,2,"Rene\532172-BLK-01","Rene\532172-BLK-02.jpg"
RR7001-BLK,"Halter Fishnet Bodystocking Black",Bodystocking,RR7001,0,"Rene\Rene\7001-BLK OS-front","Rene\7001-BLK OS-rear.jpg"
