stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
BD1246-BLK-QUEEN,"Mesh Blouse & Pin Stripe Skirt Set - Black Queen Size","Bedroom Costume",BD1246,1,product,"Baci\BD1246_003_01.jpg","Baci\BD1246_003_02.jpg"
BD1246-BLK-DIVA,"Mesh Blouse & Pin Stripe Skirt Set - Black Diva Size","Bedroom Costume",BD1246,4,product,"Baci\BD1246_003_01.jpg","Baci\BD1246_003_02.jpg"
BD1217-BLK-M/L,"Mesh Chemise, Gold Badge & Headwear Set - Black Medium/Large","Bedroom Costume",BD1217,8,product,"Baci\BD1217_01","Baci\BD1217_02.jpg"
BD1217-BLK-QUEEN,"Mesh Chemise, Gold Badge & Headwear Set - Black Queen Size","Bedroom Costume",BD1217,31,product,"Baci\BD1217_01","Baci\BD1217_02.jpg"
BD1217-BLK-DIVA,"Mesh Chemise, Gold Badge & Headwear Set - Black Diva Size","Bedroom Costume",BD1217,37,product,"Baci\BD1217_01","Baci\BD1217_02.jpg"
BD1220-WHT-QS,"Airlines First Class Flight Attendant / White / Queen Size","Bedroom Costume",BD1220,25,product,"Baci\1220_front.jpg",
BD1221-BLK-OS,"Black stewardess uniform / Black / One Size","Bedroom Costume",BD1221,6,product,"Baci\1221_front.jpg",
BD1227-WHT/RED-QUEEN,"Top and Mini Skirt with Garter - White/Red Queen Size","Bedroom Costume",BD1227,80,product,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1227-WHT/RED-DIVA,"Top and Mini Skirt with Garter - White/Red Diva Size","Bedroom Costume",BD1227,32,product,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1227-WHT/RED-S/M,"Top and Mini Skirt with Garter - White/Red Small/Medium","Bedroom Costume",BD1227,0,product,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1227-WHT/RED-M/L,"Top and Mini Skirt with Garter - White/Red Medium/Large","Bedroom Costume",BD1227,0,product,"Baci\BD1227_03","Baci\BD1227_02.jpg"
