stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MASQ12,,Masks,MASQ12,23,product,"Baci\MASQ-12_01",
MASQ14,,Pastee,MASQ14,31,product,"Baci\MASQ-14_01",
MASQ15,,Pastee,MASQ15,39,product,"Baci\MASQ-15_01",
MASQ16,,Pastee,MASQ16,36,product,"Baci\MASQ-16_01",
MASQ17,,Pastee,MASQ17,42,product,"Baci\MASQ-17_01",
MASQ18,,Pastee,MASQ18,8,product,"Baci\MASQ-18_01",
MASQ2,,Masks,MASQ2,19,product,"Baci\MASQ-2_01",
MASQ4,,Masks,MASQ4,38,product,"Baci\MASQ-4_01",
MASQ5,,Masks,MASQ5,43,product,"Baci\MASQ-5_01",
MASQ6,,Masks,MASQ6,37,product,"Baci\MASQ-6_01",
MASQ7,,Masks,MASQ7,61,product,"Baci\MASQ-7_01",
MASQ8,,Masks,MASQ8,67,product,"Baci\MASQ-8_01",
MASQ9,,Masks,MASQ9,31,product,"Baci\MASQ-9_01",
BW3133,,Bodystocking,BW3133,69,product,"Baci\3133-BLK_front.jpg","Baci\3133-BLK_back.jpg"
BW3127-Q,,Bodystocking,BW3127-Q,16,product,"Baci\3127-BLK-Q_front.jpg","Baci\3127-BLK-Q_back.jpg"
BW3132,,Bodystocking,BW3132,10,product,"Baci\3132-BLK_front","Baci\3132-BLK_back.jpg"
BD1303-BLK-M/L,,"Bedroom Costume",BD1303-BLK-M/L,3,product,"Baci\BD1303_01",
BD1309-GRN-M/L,,"Bedroom Costume",BD1309-GRN-M/L,23,product,"Baci\BD1309_01",
BW418-BLK-QS,"Sheer Pantyhose / Black / Queen Size",Pantyhose,BW418,6,product,"Baci\BW418_01.jpg",
BW416-BLK-QS,"Fish Net Pantyhose / Black / Queen Size",Pantyhose,BW416,4,product,"Baci\BW416_01.jpg",
BW167-BLK-M,"Lace G-string w/bow - Black Medium",G-String,BW167,0,product,"Baci\BW167_01.jpg","Baci\BW167_02.jpg"
BD1331-BLK-QUEEN,"Mesh Dress & Headwear Set - Black Queen Size","Bedroom Costume",BD1331,29,product,"Baci\BD1331_01","Baci\BD1331_02.jpg"
BD1331-BLK-DIVA,"Mesh Dress & Headwear Set - Black Diva Size","Bedroom Costume",BD1331,32,product,"Baci\BD1331_01","Baci\BD1331_02.jpg"
BD1331-BLK-S/M,"Mesh Dress & Headwear Set - Black Small/Medium","Bedroom Costume",BD1331,0,product,"Baci\BD1331_01","Baci\BD1331_02.jpg"
BD1331-BLK-M/L,"Mesh Dress & Headwear Set - Black Medium/Large","Bedroom Costume",BD1331,15,product,"Baci\BD1331_01","Baci\BD1331_02.jpg"
BD1305-CAMO-DIVA,"Bra and Mini Skirt - Camouflage Diva Size","Bedroom Costume",BD1305,34,product,"Baci\BD1305_01","Baci\BD1305_02.jpg"
BD1305-CAMO-QUEEN,"Bra and Mini Skirt - Camouflage Queen Size","Bedroom Costume",BD1305,35,product,"Baci\BD1305_01","Baci\BD1305_02.jpg"
BD1305-CAMO-S/M,"Bra and Mini Skirt - Camouflage Small/Medium","Bedroom Costume",BD1305,26,product,"Baci\BD1305_01","Baci\BD1305_02.jpg"
BD1305-CAMO-M/L,"Bra and Mini Skirt - Camouflage Medium/Large","Bedroom Costume",BD1305,34,product,"Baci\BD1305_01","Baci\BD1305_02.jpg"
BD1327-BLK-DIVA,"Zip Up Show Me Top, Garter Mini Skirt, and Collar with Cuffs - Black Diva Size","Bedroom Costume",BD1327,37,product,"Baci\BD1327_01","Baci\BD1327_02.jpg"
BD1327-BLK-QUEEN,"Zip Up Show Me Top, Garter Mini Skirt, and Collar with Cuffs - Black Queen Size","Bedroom Costume",BD1327,51,product,"Baci\BD1327_01","Baci\BD1327_02.jpg"
BD1327-BLK-M/L,"Zip Up Show Me Top, Garter Mini Skirt, and Collar with Cuffs - Black Medium/Large","Bedroom Costume",BD1327,95,product,"Baci\BD1327_01","Baci\BD1327_02.jpg"
BD1327-BLK-S/M,"Zip Up Show Me Top, Garter Mini Skirt, and Collar with Cuffs - Black Small/Medium","Bedroom Costume",BD1327,2,product,"Baci\BD1327_01","Baci\BD1327_02.jpg"
