stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10607-HPNK-L,"Galloon Lace Panty - HotPink Large",Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-HPNK-XL,"Galloon Lace Panty - HotPink X-Large",Knicker,STM10607,0,"STM\10607_HOTPINK_F.jpg","STM\10607_HOTPINK_B.jpg"
STM10607-PUR-S,"Galloon Lace Panty - Purple Small",Knicker,STM10607,134,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-PUR-M,"Galloon Lace Panty - Purple Medium",Knicker,STM10607,13,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-PUR-L,"Galloon Lace Panty - Purple Large",Knicker,STM10607,83,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-PUR-XL,"Galloon Lace Panty - Purple X-Large",Knicker,STM10607,158,"STM\10607_PURPLE_F.jpg","STM\10607_PURPLE_B.jpg"
STM10607-RED-S,"Galloon Lace Panty - Red Small",Knicker,STM10607,0,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-RED-M,"Galloon Lace Panty - Red Medium",Knicker,STM10607,9,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-RED-L,"Galloon Lace Panty - Red Large",Knicker,STM10607,7,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-RED-XL,"Galloon Lace Panty - Red X-Large",Knicker,STM10607,3,"STM\10607_RED_F.jpg","STM\10607_RED_B.jpg"
STM10607-WHT-S,"Galloon Lace Panty - White Small",Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607-WHT-M,"Galloon Lace Panty - White Medium",Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607-WHT-L,"Galloon Lace Panty - White Large",Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607-WHT-XL,"Galloon Lace Panty - White X-Large",Knicker,STM10607,0,"STM\10607_WHITE_F.jpg","STM\10607_WHITE_B.jpg"
STM10607X-BLK-1X/2X,"Galloon Lace Panty - Black 1X/2X",Knicker,STM10607X,0,"STM\10607X_BLACK_F.jpg","STM\10607X_BLACK_B.jpg"
STM10607X-BLK-3X/4X,"Galloon Lace Panty - Black 3X/4X",Knicker,STM10607X,0,"STM\10607X_BLACK_F.jpg","STM\10607X_BLACK_B.jpg"
STM10607X-HPNK-1X/2X,"Galloon Lace Panty - HotPink 1X/2X",Knicker,STM10607X,0,"STM\10607X_HOTPINK_F.jpg","STM\10607X_HOTPINK_B.jpg"
STM10607X-HPNK-3X/4X,"Galloon Lace Panty - HotPink 3X/4X",Knicker,STM10607X,0,"STM\10607X_HOTPINK_F.jpg","STM\10607X_HOTPINK_B.jpg"
STM10607X-PUR-1X/2X,"Galloon Lace Panty - Purple 1X/2X",Knicker,STM10607X,42,"STM\10607X_PURPLE_F.jpg","STM\10607X_PURPLE_B.jpg"
