stock_code,parent_stock_type,parent_stock_code,stock_available
RR1065-NDE-S/M,Panty,RR1065,49,"Rene\RR1065_010_01","Rene\RR1065_010_02.jpg"
RR1066-BLK-S/M,Panty,RR1066,27,"Rene\RR1066-BLK_01","Rene\RR1066-BLK_02.jpg"
RR1073-BLK-S/M,Panty,RR1073,29,"Rene\RR1073_003_01","Rene\RR1073_003_02.jpg"
RR1074-BLK-M/L,Panty,RR1074,92,"Rene\1074-BLK","Rene\1074-BLK-B.jpg"
RR1074-BLK-S/M,Panty,RR1074,187,"Rene\1074-BLK","Rene\1074-BLK-B.jpg"
RR1075-BLK-M/L,Panty,RR1075,0,"Rene\1075-BLK","Rene\1075-BLK-B.jpg"
RR1075-BLK-S/M,Panty,RR1075,0,"Rene\1075-BLK","Rene\1075-BLK-B.jpg"
RR1076-PNK-M/L,Panty,RR1076,13,"Rene\RR1076_003_01","Rene\RR1076_003_02.jpg"
RR1078-BLK-M/L,Panty,RR1078,1,"Rene\1078-BLK","Rene\1078-BLK-B.jpg"
RR1078-BLK-S/M,Panty,RR1078,0,"Rene\1078-BLK","Rene\1078-BLK-B.jpg"
RR1079-RED-M/L,Panty,RR1079,177,"Rene\1079-RED","Rene\1079-RED-B.jpg"
RR1079-RED-S/M,Panty,RR1079,182,"Rene\1079-RED","Rene\1079-RED-B.jpg"
RR1095-BLK-M/L,Thong,RR1095,0,"Rene\1095-BLK","Rene\1095-BLK-B.jpg"
RR1095-BLK-S/M,Thong,RR1095,0,"Rene\1095-BLK","Rene\1095-BLK-B.jpg"
RR1095-RED-M/L,Thong,RR1095,12,"Rene\1095-RED","Rene\1095-RED-B.jpg"
RR1095-RED-S/M,Thong,RR1095,0,"Rene\1095-RED","Rene\1095-RED-B.jpg"
RR1098-BLK-M/L,Thong,RR1098,139,"Rene\RR1098-BLK_01","Rene\RR1098-BLK_02.jpg"
RR1098-BLK-S/M,Thong,RR1098,89,"Rene\RR1098-BLK_01","Rene\RR1098-BLK_02.jpg"
RR1099-BLK-S/M,Panty,RR1099,52,"Rene\RR1099-BLK_01","Rene\RR1099-BLK_02.jpg"
