stock_code,parent_stock_type,parent_stock_code,stock_available
RR532119-BLK-S/M,"Bra Set",RR532119,7,"Rene\532119-BLK","Rene\532119-BLK-B.jpg"
RR532123-BLK-M/L,"Bra Set",RR532123,5,"Rene\532123-BLK","Rene\532123-BLK-B.jpg"
RR532124-BLK-M/L,"Bra Set",RR532124,4,"Rene\532124-BLK","Rene\532124-BLK-B.jpg"
RR532124-BLK-S/M,"Bra Set",RR532124,0,"Rene\532124-BLK","Rene\532124-BLK-B.jpg"
RR532129-BLK-M/L,"Bra Set",RR532129,24,"Rene\532129-BLK","Rene\532129-BLK-B.jpg"
RR532129-BLK-S/M,"Bra Set",RR532129,29,"Rene\532129-BLK","Rene\532129-BLK-B.jpg"
RR532130-BLK-M/L,"Bra Set",RR532130,3,"Rene\532130-BLK","Rene\532130-BLK-B.jpg"
RR532131-BLK-M/L,"Bra Set",RR532131,14,"Rene\532131-BLK","Rene\532131-BLK-B.jpg"
RR532131-BLK-S/M,"Bra Set",RR532131,11,"Rene\532131-BLK","Rene\532131-BLK-B.jpg"
RR532132-BLK-M/L,"Bra Set",RR532132,0,"Rene\532132-BLK","Rene\532132-BLK-B.jpg"
RR532132-RED-M/L,"Bra Set",RR532132,0,"Rene\532132-RED","Rene\532132-RED-B.jpg"
RR532132-RED-S/M,"Bra Set",RR532132,3,"Rene\532132-RED","Rene\532132-RED-B.jpg"
RR532133,"Bra Set",RR532133,5,"Rene\532133-BLK.jpg","Rene\532133-BLK-B.jpg"
RR532137-BLK-M/L,"Bra Set",RR532137,4,"Rene\532137-BLK","Rene\532137-BLK-B.jpg"
RR532148,"Bra Set",RR532148,12,"Rene\532148-BLK.jpg","Rene\532148-BLK-B.jpg"
RR532149-BLK-M/L,"Bra Set",RR532149,4,"Rene\532149-BLK","Rene\532149-BLK-B.jpg"
RR532149-BLK-S/M,"Bra Set",RR532149,3,"Rene\532149-BLK","Rene\532149-BLK-B.jpg"
RR532150-BLK-M/L,"Bra Set",RR532150,5,"Rene\532150-BLK","Rene\532150-BLK-B.jpg"
RR532150-BLK-S/M,"Bra Set",RR532150,4,"Rene\532150-BLK","Rene\532150-BLK-B.jpg"
RR532151-BLK-M/L,"Bra Set",RR532151,0,"Rene\532151-BLK","Rene\532151-BLK-B.jpg"
RR532155-BLK-M/L,"Bra Set",RR532155,10,"Rene\532155-BLK","Rene\532155-BLK-B.jpg"
RR532155-BLK-S/M,"Bra Set",RR532155,9,"Rene\532155-BLK","Rene\532155-BLK-B.jpg"
RR532156-BLK-M/L,"Bra Set",RR532156,20,"Rene\532156-BLK","Rene\532156-BLK-B.jpg"
RR532157-BLK-M/L,"Bra Set",RR532157,10,"Rene\532157-BLK","Rene\532157-BLK-B.jpg"
RR532157-BLK-S/M,"Bra Set",RR532157,3,"Rene\532157-BLK","Rene\532157-BLK-B.jpg"
RR532160-BLK-M/L,"Bra Set",RR532160,5,"Rene\532160-BLK","Rene\532160-BLK-B.jpg"
RR532161-BLK-M/L,"Bra Set",RR532161,0,"Rene\532161-BLK","Rene\532161-BLK-B.jpg"
RR532163-BLK-M/L,"Bra Set",RR532163,4,"Rene\532163-BLK","Rene\532163-BLK-B.jpg"
RR532164-BLK-M/L,"Bra Set",RR532164,1,"Rene\532164-BLK","Rene\532164-BLK-B.jpg"
RR532168-BLK-M/L,"Bra Set",RR532168,35,"Rene\532168-BLK-04","Rene\532168-BLK-05.jpg"
RR532168-BLK-S/M,"Bra Set",RR532168,2,"Rene\532168-BLK-04","Rene\532168-BLK-05.jpg"
RR532172-BLK-M/L,"Bra Set",RR532172,5,"Rene\532172-BLK-01","Rene\532172-BLK-02.jpg"
RR532172-BLK-S/M,"Bra Set",RR532172,2,"Rene\532172-BLK-01","Rene\532172-BLK-02.jpg"
RR7001-BLK,Bodystocking,RR7001,0,"Rene\Rene\7001-BLK OS-front","Rene\7001-BLK OS-rear.jpg"
RR7001-WHT,Bodystocking,RR7001,0,"Rene\Rene\7001-WHT","Rene\7001-WHT-B.jpg"
RR7001X,Bodystocking,RR7001X,0,"Rene\7001X-BLK-front.jpg","Rene\7001X-BLK-rear.jpg"
RR7002-BLK,Bodystocking,RR7002,9,"Rene\Rene\7002-BLK OS-front","Rene\7002-BLK OS-rear.jpg"
RR7002-LME,Bodystocking,RR7002,47,"Rene\Rene\7002-LIM","Rene\7002-LIM-B.jpg"
RR7002-PNK,Bodystocking,RR7002,0,"Rene\Rene\7002-PNK","Rene\7002-PNK-B.jpg"
RR7002-RED,Bodystocking,RR7002,0,"Rene\Rene\7002-RED","Rene\7002-RED-B.jpg"
RR7002-WHT,Bodystocking,RR7002,1,"Rene\Rene\7002-WHT","Rene\7002-WHT-B.jpg"
RR7004-BLK,Bodystocking,RR7004,2,"Rene\Rene\7004-BLK OS-front","Rene\7004-BLK OS-rear.jpg"
RR7004-PUR,Bodystocking,RR7004,7,"Rene\Rene\7004-PUR","Rene\7004-PUR-B.jpg"
RR7004-WHT,Bodystocking,RR7004,6,"Rene\Rene\7004-WHT","Rene\7004-WHT-B.jpg"
RR7004X,Bodystocking,RR7004X,115,"Rene\7004X-BLK-front.jpg","Rene\7004X-BLK-rear.jpg"
RR7006,Bodystocking,RR7006,0,"Rene\7006-BLK.jpg","Rene\7006-BLK-B.jpg"
RR7006X,Bodystocking,RR7006X,111,"Rene\7006X-BLK-front.jpg","Rene\7006X-BLK-rear.jpg"
RR7008-BLK-OS,Bodystocking,RR7008,5234,"Rene\7008-BLK.jpg","Rene\7008-BLK-B.jpg","Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg"
RR7008-BLK-QS,Bodystocking,RR7008,,"Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg","Rene\7008-BLK.jpg","Rene\7008-BLK-B.jpg","Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg"
RR7008-RED-OS,Bodystocking,RR7008,0,"Rene\7008-BLK.jpg","Rene\7008-BLK-B.jpg","Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg"
RR7008-RED-QS,Bodystocking,RR7008,,"Rene\7008-BLK.jpg","Rene\7008-BLK-B.jpg","Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg"
RR7008X-BLK-QS,Bodystocking,RR7008X,0,"Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg"
RR7008X-RED-QS,Bodystocking,RR7008X,0,"Rene\7008X-BLK-front.jpg","Rene\7008X-BLK-rear.jpg"
RR7009,Bodystocking,RR7009,53,"Rene\7009-BLK.jpg","Rene\7009-BLK-B.jpg"
RR7010-BLK,Bodystocking,RR7010,318,"Rene\Rene\7010-BLK","Rene\7010-BLK-B.jpg"
RR7010-RED,Bodystocking,RR7010,9,"Rene\Rene\7010-RED","Rene\7010-RED-B.jpg"
RR7010-WHT,Bodystocking,RR7010,2,"Rene\Rene\7010-WHT","Rene\7010-WHT-B.jpg"
RR7013-BLK,Bodystocking,RR7013,24,"Rene\Rene\7013-BLK front","Rene\7013-BLK rear.jpg"
RR7013-RED,Bodystocking,RR7013,7,"Rene\Rene\7013-RED","Rene\7013-RED-B.jpg"
RR7013-WHT,Bodystocking,RR7013,3,"Rene\Rene\7013-WHT","Rene\7013-WHT-B.jpg"
RR7013X,Bodystocking,RR7013X,0,"Rene\7013X-BLK-8329.jpg","Rene\7013X-BLK-8292.jpg"
RR7016,Dress,RR7016,12,"Rene\7016-BLK.jpg","Rene\7016-BLK_B.jpg"
RR7019,Dress,RR7019,0,"Rene\7019-BLK OS.jpg","Rene\7019-BLK OS-B.jpg"
RR7022,Stockings,RR7022,50,"Rene\7022-BLK OS.jpg","Rene\7022-BLK-OS-B.jpg"
RR7023,Dress,RR7023,1,"Rene\7023-BLK-OS.jpg","Rene\7023-BLK-OS-B.jpg"
RR7027-BLK-M/L,Dress,RR7027,26,"Rene\7027-BLK","Rene\7027-BLK-B.jpg"
RR7029-BLK-M/L,Dress,RR7029,3,"Rene\7029-BLK","Rene\7029-BLK-B.jpg"
RR7030-BLK-S/M,Dress,RR7030,1,"Rene\7030-BLK","Rene\7030-BLK-B.jpg"
RR7032,Set,RR7032,13,"Rene\7032-BLK.jpg","Rene\7032-BLK-B.jpg"
RR7033,Dress,RR7033,9,"Rene\7033-BLK.jpg","Rene\7033-BLK-B.jpg"
RR7034,Skirt,RR7034,7,"Rene\7034-BLK.jpg","Rene\7034-BLK-B.jpg"
RR7035-BLK-M/L,Bodysuit,RR7035,4,"Rene\7035-BLK","Rene\7035-BLK-B.jpg"
RR7036-BLK-M/L,Bodysuit,RR7036,0,"Rene\7036-BLK","Rene\7036-BLK-B.jpg"
RR7036-BLK-S/M,Bodysuit,RR7036,0,"Rene\7036-BLK","Rene\7036-BLK-B.jpg"
RR7036-RED-S/M,Bodysuit,RR7036,6,"Rene\7036-BLK","Rene\7036-BLK-B.jpg"
RR7036-RED-M/L,Bodysuit,RR7036,2,"Rene\7036-BLK","Rene\7036-BLK-B.jpg"
RR7041-BLK-M/L,Dress,RR7041,3,"Rene\7041-BLK","Rene\7041-BLK-B.jpg"
RR7042-BLK-M/L,Set,RR7042,0,"Rene\7042-BLK","Rene\7042-BLK-B.jpg"
RR7042-BLK-S/M,Set,RR7042,0,"Rene\7042-BLK","Rene\7042-BLK-B.jpg"
RR7043-BLK-M/L,Bodystocking,RR7043,8,"Rene\7043-BLK","Rene\7043-BLK-B.jpg"
RR7043-BLK-S/M,Bodystocking,RR7043,5,"Rene\7043-BLK","Rene\7043-BLK-B.jpg"
RR7044,Bodystocking,RR7044,0,"Rene\7044-BLK.jpg","Rene\7044-BLK-B.jpg"
RR7045,Dress,RR7045,4,"Rene\7045-BLK.jpg","Rene\7045-BLK-B.jpg"
RR7046,Bodystocking,RR7046,6,"Rene\7046-BLK.jpg","Rene\7046-BLK-B.jpg"
RR7048-BLK-M/L,Bodystocking,RR7048,12,"Rene\7048-BLK","Rene\7048-BLK-B.jpg"
RR7048-BLK-S/M,Bodystocking,RR7048,10,"Rene\7048-BLK","Rene\7048-BLK-B.jpg"
RR7049,Bodystocking,RR7049,18,"Rene\7049-BLK.jpg","Rene\7049-BLK-B.jpg"
RR7050-BLK-M/L,Bodystocking,RR7050,10,"Rene\7050-BLK","Rene\7050-BLK-B.jpg"
RR7050-BLK-S/M,Bodystocking,RR7050,4,"Rene\7050-BLK","Rene\7050-BLK-B.jpg"
RR7051,Bodystocking,RR7051,0,"Rene\7051-BLK.jpg","Rene\7051-BLK-B.jpg"
RR7052,Bodystocking,RR7052,9,"Rene\7052-BLK.jpg","Rene\7052-BLK-B.jpg"
RR7053,Bodysuit,RR7053,2,"Rene\7053-BLK.jpg","Rene\7053-BLK-B.jpg"
RR7057-BLK-M/L,Bodystocking,RR7057,3,"Rene\7057-BLK-2790","Rene\7057-BLK-2812.jpg"
RR7057-BLK-S/M,Bodystocking,RR7057,1,"Rene\7057-BLK-2790","Rene\7057-BLK-2812.jpg"
RR7058X,Bodysuit,RR7058X,0,"Rene\7058X-BLK-8023.jpg","Rene\7058X-BLK-8122.jpg"
RR7059X,Bodystocking,RR7059X,6,"Rene\7059X-BLK-8527.jpg","Rene\7059X-BLK-8568.jpg"
RR7060X,Bodysuit,RR7060X,4,"Rene\7060X-BLK-8143.jpg","Rene\7060X-BLK-8240.jpg"
RR7061X,Dress,RR7061X,3,"Rene\7061X-BLK-8378.jpg","Rene\7061X-BLK-8401.jpg"
RR7062X,Bodystocking,RR7062X,6,"Rene\7062X-BLK-8449.jpg","Rene\7062X-BLK-8464.jpg"
RR7063,Bodystocking,RR7063,103,"Rene\7063-BLK-1549.jpg","Rene\7063-BLK-1559.jpg"
RR7064,Bodystocking,RR7064,10,"Rene\7064-BLK-0006.jpg","Rene\7064-BLK-0036.jpg"
RR7064X,Bodystocking,RR7064X,7,"Rene\7064X-BLK-7211.jpg","Rene\7064X-BLK-7240.jpg"
RR7065-BLK,Bodystocking,RR7065,15,"Rene\7065-BLK-0126.jpg","Rene\7065-BLK-0151.jpg"
RR7065-RED,Bodystocking,RR7065,516,"Rene\7065-RED-0084.jpg","Rene\7065-RED-0096.jpg"
RR7065X,Bodystocking,RR7065X,4,"Rene\7065X-BLK-6933.jpg","Rene\7065X-BLK-6926.jpg"
RR7066,Bodystocking,RR7066,22,"Rene\7066-BLK-9989.jpg","Rene\7066-BLK-9976.jpg"
RR7066X,Bodystocking,RR7066X,14,"Rene\7066X-BLK-7077.jpg","Rene\7066X-BLK-7116.jpg"
RR7067-BLK,Dress,RR7067,4,"Rene\7067-BLK-9399.jpg","Rene\7067-BLK-9417.jpg"
RR7067-BUR,Dress,RR7067,24,"Rene\Rene\7067-BOR-9435","Rene\7067-BOR-9455.jpg"
RR7067-RED,Dress,RR7067,10,"Rene\Rene\7067-RED-9094","Rene\7067-RED-9123.jpg"
RR7067X-BLK,Dress,RR7067X,5,"Rene\Rene\7067X-BLK-7325","Rene\7067X-BLK-7369.jpg"
RR7067X-BUR,Dress,RR7067X,4,"Rene\Rene\7067X-BUR-7518","Rene\7067X-BUR-7529.jpg"
RR7067X-RED,Dress,RR7067X,6,"Rene\Rene\7067X-RED-6409","Rene\7067X-RED-6416.jpg"
RR7068,Bodysuit,RR7068,19,"Rene\7068-NDE-9477.jpg","Rene\7068-NDE-9511.jpg"
RR7068X,Bodysuit,RR7068X,16,"Rene\7068X-NDE-6172.jpg","Rene\7068X-NDE-6183.jpg"
RR7069-BLK,Bodysuit,RR7069,10,"Rene\Rene\7069-BLK-9850","Rene\7069-BLK-9870.jpg"
RR7069-BUR,Bodysuit,RR7069,11,"Rene\Rene\7069-BOR-9549","Rene\7069-BOR-9576.jpg"
RR7070X-WHT-1X/2X,Dress,RR7070X,2,"Rene\7070X-2X-WHT--Seductive-Lace-Dress-3438","Rene\7070X-2X-WHT--Seductive-Lace-Dress-3438.jpg","Rene\7070X-2X-WHT-Seductive-Lace-Dress-3460.jpg"
RR7070X-WHT-3X/4X,Dress,RR7070X,1,"Rene\7070X-2X-WHT--Seductive-Lace-Dress-3438","Rene\7070X-2X-WHT--Seductive-Lace-Dress-3438.jpg","Rene\7070X-2X-WHT-Seductive-Lace-Dress-3460.jpg"
RR7070X-BLK-1X/2X,Dress,RR7070X,1,"Rene\7070X-2X-BLK--Seductive-Lace-Dress-0949","Rene\7070X-2X-BLK--Seductive-Lace-Dress-0949.jpg","Rene\7070X-2X-BLK--Seductive-Lace-Dress-0988.jpg"
RR7070X-BLK-3X/4X,Dress,RR7070X,2,"Rene\7070X-2X-BLK--Seductive-Lace-Dress-0950","Rene\7070X-2X-BLK--Seductive-Lace-Dress-0949.jpg","Rene\7070X-2X-BLK--Seductive-Lace-Dress-0988.jpg"
RR7071,Bodystocking,RR7071,11,"Rene\7071-BLK--String-Me-Up-Bodystocking-1775.jpg","Rene\7071-BLK--String-Me-Up-Bodystocking-1872.jpg"
RR7072-BLK-M/L,Bodystocking,RR7072,5,"Rene\7072-BLK--Body-Up-Crotchless-Bodystocking-1594","Rene\7072-BLK--Body-Up-Crotchless-Bodystocking-1625.jpg"
RR7072-BLK-S/M,Bodystocking,RR7072,1,"Rene\7072-BLK--Body-Up-Crotchless-Bodystocking-1594","Rene\7072-BLK--Body-Up-Crotchless-Bodystocking-1625.jpg"
RR7073X,Dress,RR7073X,2,"Rene\7073X-BLK--Lace-And-Net-Strap-Dress-1112.jpg","Rene\7073X-BLK--Lace-And-Net-Strap-Dress-1146.jpg"
RR7074X-BLK,"Gowns & Robes",RR7074X,25,"Rene\7074X-BLK--Take-the-Heat-Lace-Gown-1338_1024x1024.jpg","Rene\7074X-BLK--Take-the-Heat-Lace-Gown-1361_1024x1024.jpg"
RR7074X-WHT,"Gowns & Robes",RR7074X,1,"Rene\7074X-WHT--Take-the-Heat-Lace-Gown-3360_1024x1024.jpg","Rene\7074X-WHT--Take-the-Heat-Lace-Gown-3384_1024x1024.jpg"
RR8010,"Thigh High",RR8010,0,"Rene\8010-BLK-front.jpg"
RR8011,"Thigh High",RR8011,0,"Rene\8011-BLK-rear.jpg"
RR8012,"Thigh High",RR8012,4,"Rene\8012-BLK.jpg","Rene\8012-BLK-B.jpg"
RR8016,"Thigh High",RR8016,137,"Rene\8016-BLK.jpg","Rene\8016-BLK-B.jpg"
RR8028,"Thigh High",RR8028,23,"Rene\8028-BLK front.jpg","Rene\8028-BLK rear.jpg"
RR8029,"Thigh High",RR8029,33,"Rene\8029-BLK front.jpg","Rene\8029-BLK rear.jpg"
RR8030,"Thigh High",RR8030,13,"Rene\8030-BLK front.jpg","Rene\8030-BLK rear.jpg"
RR8033,"Thigh High",RR8033,5,"Rene\8033-BLK.jpg","Rene\8033-BLK-B.jpg"
RR8034,"Thigh High",RR8034,0,"Rene\8034-BLK.jpg","Rene\8034-BLK-B.jpg"
RR9010X,Pantyhose,RR9010X,2,"Rene\9010X-BLK front.jpg"
RR9011X,Pantyhose,RR9011X,0,"Rene\9011X-BLK.jpg"
RR9019X,Pantyhose,RR9019X,0,"Rene\9019X-BLK front.jpg"
RR9025,Pantyhose,RR9025,4,"Rene\9025-BLK-OS.jpg","Rene\9025-BLK-OS-rear.jpg"
RR9028,Pantyhose,RR9028,5,"Rene\9028-BLK-1415.jpg","Rene\9028-BLK-1457.jpg"
SG1082-BLK-L,G-String,SG1082,5,"Rene\1082-BLK"
SG1082-RED-L,G-String,SG1082,3,"Rene\1082-BLK"
RR1109-BLK-M/L,Panty,RR1109,48,"Rene\1109-BLK","Rene\1109-BLK-B.jpg"
RR1109-BLK-S/M,Panty,RR1109,39,"Rene\1109-BLK","Rene\1109-BLK-B.jpg"
RR1121-BLK-M/L,Garterbelt,RR1121,160,"Rene\1121-BLK","Rene\1121-BLK-B.jpg"
RR7075-RED-OS,Dress,RR7075,0,"Rene\7075_RED_F.jpg","Rene\7075_RED_B.jpg"
RR7075X-RED-QS,Dress,RR7075X,4,"Rene\7075X_RED_F.jpg","Rene\7075X_RED_B.jpg"
RR7076-BLK-OS,Bodystocking,RR7076,26,"Rene\7076_BLK_F.jpg","Rene\7076_BLK_B.jpg"
RR7076X-BLK-1X2X,Bodystocking,RR7076X,18,"Rene\7076X_BLK_F.jpg","Rene\7076X_BLK_B.jpg"
RR7076X-BLK-3X4X,Bodystocking,RR7076X,18,"Rene\7076X_BLK_F.jpg","Rene\7076X_BLK_B.jpg"
RR7077-BLK-SM,Bodystocking,RR7077,4,"Rene\7077_BLK_F.jpg","Rene\7077_BLK_B.jpg"
RR7077-BLK-ML,Bodystocking,RR7077,3,"Rene\7077_BLK_F.jpg","Rene\7077_BLK_B.jpg"
RR7078-BLK-SM,Dress,RR7078,3,"Rene\7078_BLK_F.jpg","Rene\7078_BLK_B.jpg"
RR7078-BLK-ML,Dress,RR7078,4,"Rene\7078_BLK_F.jpg","Rene\7078_BLK_B.jpg"
RR7079-BLK-SM,Bodysuit,RR7079,0,"Rene\7079_BLK_F.jpg","Rene\7079_BLK_B.jpg"
RR7079-BLK-ML,Bodysuit,RR7079,0,"Rene\7079_BLK_F.jpg","Rene\7079_BLK_B.jpg"
RR7081-BLK-OS,Dress,RR7081,1,"Rene\7081_BLK_F.jpg","Rene\7081_BLK_B.jpg"
RR7081X-BLK-QS,Dress,RR7081X,3,"Rene\7081X_BLK_F.jpg","Rene\7081X_BLK_B.jpg"
RR7082-BLK-OS,Dress,RR7082,0,"Rene\7082_BLK_F.jpg","Rene\7082_BLK_B.jpg"
RR7082-SGA-OS,Dress,RR7082,0,"Rene\7082_SGA_F.jpg","Rene\7082_SGA_B.jpg"
RR7082X-BLK-QS,Dress,RR7082X,9,"Rene\7082X_BLK_F.jpg","Rene\7082X_BLK_B.jpg"
RR7082X-SGA-QS,Dress,RR7082X,0,"Rene\7082X_SGA_F.jpg","Rene\7082X_SGA_B.jpg"
RR7089-BLK-OS,Bodysuit,RR7089,0,"Rene\7089_BLK_F.jpg","Rene\7089_BLK_B.jpg"
RR7089-RSE-OS,Bodysuit,RR7089,3,"Rene\7089_ROS_F.jpg","Rene\7089_ROS_B.jpg"
RR7089X-RSE-QS,Bodysuit,RR7089X,2,"Rene\7089X_ROS_F.jpg","Rene\7089X_ROS_B.jpg"
RR7089X-BLK-QS,Bodysuit,RR7089X,0,"Rene\7089X_BLK_F.jpg","Rene\7089X_BLK_B.jpg"
RR7084-BLK-SM,Bodystocking,RR7084,3,"Rene\7084_BLK_F.jpg","Rene\7084_BLK_B.jpg"
RR7084-BLK-ML,Bodystocking,RR7084,3,"Rene\7084_BLK_F.jpg","Rene\7084_BLK_B.jpg"
RR7084X-BLK-1X2X,Bodystocking,RR7084X,3,"Rene\7084X_BLK_F.jpg","Rene\7084X_BLK_B.jpg"
RR7084X-BLK-3X4X,Bodystocking,RR7084X,3,"Rene\7084X_BLK_F.jpg","Rene\7084X_BLK_B.jpg"
RR7083-BLK-SM,Dress,RR7083,1,"Rene\7083_BLK_F.jpg","Rene\7083_BLK_B.jpg"
RR7083-BLK-ML,Dress,RR7083,0,"Rene\7083_BLK_F.jpg","Rene\7083_BLK_B.jpg"
RR7083-SGA-SM,Dress,RR7083,0,"Rene\7083_SGA_F.jpg","Rene\7083_SGA_B.jpg"
RR7083-SGA-ML,Dress,RR7083,0,"Rene\7083_SGA_F.jpg","Rene\7083_SGA_B.jpg"
RR7083-TEA-SM,Dress,RR7083,0,"Rene\7083_TEAL_F.jpg","Rene\7083_TEAL_B.jpg"
RR7083-TEA-ML,Dress,RR7083,0,"Rene\7083_TEAL_F.jpg","Rene\7083_TEAL_B.jpg"
RR7083X-BLK-1X2X,Dress,RR7083X,1,"Rene\7083X_BLK_F.jpg","Rene\7083X_BLK_B.jpg"
RR7083X-BLK-3X4X,Dress,RR7083X,1,"Rene\7083X_BLK_F.jpg","Rene\7083X_BLK_B.jpg"
RR7083X-TEA-1X2X,Dress,RR7083X,1,"Rene\7083X_TEAL_F.jpg","Rene\7083X_TEAL_B.jpg"
RR7083X-TEA-3X4X,Dress,RR7083X,1,"Rene\7083X_TEAL_F.jpg","Rene\7083X_TEAL_B.jpg"
RR7083X-SGA-1X2X,Dress,RR7083X,1,"Rene\7083X_SGA_F.jpg","Rene\7083X_SGA_B.jpg"
RR7083X-SGA-3X4X,Dress,RR7083X,1,"Rene\7083X_SGA_F.jpg","Rene\7083X_SGA_B.jpg"
RR7086-BLK-OS,Dress,RR7086,0,"Rene\7086_BLK_F.jpg","Rene\7086_BLK_B.jpg"
RR7086-BLU-OS,Dress,RR7086,8,"Rene\7086_BLU_F.jpg","Rene\7086_BLU_B.jpg"
RR7086X-BLK-QS,Dress,RR7086X,6,"Rene\7086X_BLK_F.jpg","Rene\7086X_BLK_B.jpg"
RR7086X-BLU-QS,Dress,RR7086X,6,"Rene\7086X_BLU_F.jpg","Rene\7086X_BLU_B.jpg"
RR7088-BLK-OS,Dress,RR7088,0,"Rene\7088_BLK_F.jpg","Rene\7088_BLK_B.jpg"
RR7088X-BLK-QS,Dress,RR7088X,0,"Rene\7088X_BLK_F.jpg","Rene\7088X_BLK_B.jpg"
RR7087-BLK-SM,Dress,RR7087,1,"Rene\7087_BLK_F.jpg","Rene\7087_BLK_B.jpg"
RR7087-BLK-ML,Dress,RR7087,2,"Rene\7087_BLK_F.jpg","Rene\7087_BLK_B.jpg"
RR7087-RSE-SM,Dress,RR7087,3,"Rene\7087_ROS_F.jpg","Rene\7087_ROS_B.jpg"
RR7087-RSE-ML,Dress,RR7087,3,"Rene\7087_ROS_F.jpg","Rene\7087_ROS_B.jpg"
RR7087X-BLK-1X2X,Dress,RR7087X,10,"Rene\7087X_BLK_F.jpg","Rene\7087X_BLK_B.jpg"
RR7087X-BLK-3X4X,Dress,RR7087X,10,"Rene\7087X_BLK_F.jpg","Rene\7087X_BLK_B.jpg"
RR7087X-RSE-1X2X,Dress,RR7087X,3,"Rene\7087X_ROS_F.jpg","Rene\7087X_ROS_B.jpg"
RR7087X-RSE-3X4X,Dress,RR7087X,3,"Rene\7087X_ROS_F.jpg","Rene\7087X_ROS_B.jpg"
RR7090-BLU-OS,Dress,RR7090,0,"Rene\7090_BLU_F.jpg","Rene\7090_BLU_B.jpg"
RR7090-BLK-OS,Dress,RR7090,0,"Rene\7090_BLK_F.jpg","Rene\7090_BLK_B.jpg"
RR7090-RSE-OS,Dress,RR7090,0,"Rene\7090_ROS_F.jpg","Rene\7090_ROS_B.jpg"
RR7090X-BLK-QS,Dress,RR7090X,0,"Rene\7090X_BLK_F.jpg","Rene\7090X_BLK_B.jpg"
RR7090X-RSE-QS,Dress,RR7090X,1,"Rene\7090X_ROS_F.jpg","Rene\7090X_ROS_B.jpg"
RR7090X-BLU-QS,Dress,RR7090X,2,"Rene\7090X_BLU_F.jpg","Rene\7090X_BLU_B.jpg"
RR7085-BLK-OS,Dress,RR7085,12,"Rene\7085_BLK_F.jpg","Rene\7085_BLK_B.jpg"
RR7085X-BLK-QS,Dress,RR7085X,3,"Rene\7085X_BLK_F.jpg","Rene\7085X_BLK_B.jpg"
SG1080-BLK-L,G-String,SG1080,6,"Rene\1080-BLK"
SG1080-BLK-M,G-String,SG1080,6,"Rene\1080-BLK"
SG1081-BLK-M,Boyshort,SG1081,4,"Rene\1081-BLK"
SG1085-BLK-L,Tanga,SG1085,6,"Rene\1085-BLK"
SG1085-BLK-S,Tanga,SG1085,2,"Rene\1085-BLK"
SG1089-RED-L,Tanga,SG1089,8,"Rene\1089-RED"
SG1089-RED-S,Tanga,SG1089,7,"Rene\1089-RED"
SG1089-WHT-L,Tanga,SG1089,9,"Rene\1089-WHT"
SG1089-WHT-M,Tanga,SG1089,13,"Rene\1089-WHT"
SG1089-WHT-S,Tanga,SG1089,14,"Rene\1089-WHT"
SG1091-BLK-L,Bikini,SG1091,8,"Rene\1091-BLK"
SG1091-BLK-S,Bikini,SG1091,5,"Rene\1091-BLK"
SG1092-BLK-L,Hipster,SG1092,12,"Rene\1092-BLK"
SG1092-BLK-M,Hipster,SG1092,17,"Rene\1092-BLK"
SG1092-BLK-S,Hipster,SG1092,18,"Rene\1092-BLK"
SG1093-WHT-L,Thong,SG1093,22,"Rene\1093-WHT"
SG1094-RED-L,Thong,SG1094,8,"Rene\1094-RED"
SG1094-RED-M,Thong,SG1094,11,"Rene\1094-RED"
SG1094-RED-S,Thong,SG1094,11,"Rene\1094-RED"
SG1097-BLK-S,Bikini,SG1097,24,"Rene\1097-BLK"
SG1107,Tanga,SG1107,0,"Rene\1107-BLK"
B2005-RSE-30DD,Bra,B2005,14,"Rene\B2005-ROS"
B2005-RSE-30DDD,Bra,B2005,12,"Rene\B2005-ROS"
B2005-RSE-30F,Bra,B2005,15,"Rene\B2005-ROS"
B2005-RSE-32DD,Bra,B2005,11,"Rene\B2005-ROS"
B2005-RSE-32DDD,Bra,B2005,17,"Rene\B2005-ROS"
B2005-RSE-32F,Bra,B2005,20,"Rene\B2005-ROS"
B2005-RSE-34DD,Bra,B2005,13,"Rene\B2005-ROS"
B2005-RSE-34DDD,Bra,B2005,12,"Rene\B2005-ROS"
B2005-RSE-34F,Bra,B2005,4,"Rene\B2005-ROS"
B2005-RSE-36DDD,Bra,B2005,8,"Rene\B2005-ROS"
B2005-RSE-36F,Bra,B2005,3,"Rene\B2005-ROS"
B2001-BLK-30DD,Bra,B2001,9,"Rene\B2001-BLK"
B2001-BLK-30DDD,Bra,B2001,16,"Rene\B2001-BLK"
B2001-BLK-30F,Bra,B2001,11,"Rene\B2001-BLK"
B2001-BLK-32DD,Bra,B2001,11,"Rene\B2001-BLK"
B2001-BLK-32DDD,Bra,B2001,12,"Rene\B2001-BLK"
B2001-BLK-32F,Bra,B2001,11,"Rene\B2001-BLK"
B2001-BLK-34DD,Bra,B2001,11,"Rene\B2001-BLK"
