stock_code,parent_stock_type,parent_stock_code,stock_available
FV26557-BLK-L,"Bedroom Costume",FV26557,0,"Fever\26557.jpg"
FV26557-BLK-M,"Bedroom Costume",FV26557,0,"Fever\26557.jpg"
FV26557-BLK-S,"Bedroom Costume",FV26557,0,"Fever\26557.jpg"
FV26558-BLK-L,"Bedroom Costume",FV26558,0,"Fever\26558.jpg"
FV26558-BLK-M,"Bedroom Costume",FV26558,0,"Fever\26558.jpg"
FV26558-BLK-S,"Bedroom Costume",FV26558,0,"Fever\26558.jpg"
FV26803,Bodysuit,FV26803,1,"Fever\26803.jpg"
FV26806,Bodysuit,FV26806,0,"Fever\26806.jpg"
FV26807,Bodysuit,FV26807,0,"Fever\26807.jpg"
FV26809,Bodysuit,FV26809,0,"Fever\26809.jpg"
FV26811,Bodysuit,FV26811,0,"Fever\26811.jpg"
FV26812,Bodysuit,FV26812,3,"Fever\26812.jpg"
FV26814,Bodysuit,FV26814,0,"Fever\26814.jpg"
FV27043-RED-M,"Fancy Dress",FV27043,0,"Fever\27043.jpg"
FV27043-RED-S,"Fancy Dress",FV27043,0,"Fever\27043.jpg"
FV27043-RED-XS,"Fancy Dress",FV27043,0,"Fever\27043.jpg"
FV27072-BLK-L,"Fancy Dress",FV27072,0,"Fever\27072.jpg"
FV27072-BLK-M,"Fancy Dress",FV27072,0,"Fever\27072.jpg"
FV27072-BLK-S,"Fancy Dress",FV27072,0,"Fever\27072.jpg"
FV27134,Tights,FV27134,0,"Fever\27134.jpg"
FV27135,Tights,FV27135,0,"Fever\27135_A1.jpg"
FV27136,Tights,FV27136,2,"Fever\27136_A1.jpg"
FV27139,Tights,FV27139,0,"Fever\27139.jpg"
FV27881,Eyelash,FV27881,1,"Fever\27881.jpg"
FV27890,Eyelash,FV27890,0,"Fever\27890.jpg"
FV27894-BLU-L,"Fancy Dress",FV27894,0,"Fever\27894_S.jpg","Fever\27894_B.jpg"
FV27894-BLU-M,"Fancy Dress",FV27894,0,"Fever\27894_S.jpg","Fever\27894_B.jpg"
FV27894-BLU-S,"Fancy Dress",FV27894,0,"Fever\27894_S.jpg","Fever\27894_B.jpg"
FV28068,Tutu/Peticoat,FV28068,0,"Fever\28068.jpg"
FV28070,Tutu/Peticoat,FV28070,0,"Fever\28070.jpg"
FV28351,Hold-Ups,FV28351,3,"Fever\28351.jpg"
FV28629-BLK-L,"Fancy Dress",FV28629,1,"Fever\28629_A1.jpg"
FV28629-BLK-M,"Fancy Dress",FV28629,1,"Fever\28629_A1.jpg"
FV28629-BLK-S,"Fancy Dress",FV28629,0,"Fever\28629_A1.jpg"
FV28629-BLK-XS,"Fancy Dress",FV28629,0,"Fever\28629_A1.jpg"
FV28885,Hats,FV28885,0,"Fever\28885.jpg"
FV28905-CAM-L,"Bedroom Costume",FV28905,0,"Fever\28905.jpg"
FV28905-CAM-M,"Bedroom Costume",FV28905,0,"Fever\28905.jpg"
FV28905-CAM-S,"Bedroom Costume",FV28905,0,"Fever\28905.jpg"
FV29269,Knicker,FV29269,0,"Fever\29269.jpg"
FV29271,Knicker,FV29271,0,"Fever\29271.jpg"
FV29495-BRN-M,"Fancy Dress",FV29495,0,"Fever\29495.jpg"
FV29495-BRN-S,"Fancy Dress",FV29495,0,"Fever\29495.jpg"
FV29614,Gloves,FV29614,0,"Fever\29614.jpg"
FV29629,Dress,FV29629,0,"Fever\29629_A2.jpg"
FV29650,Dress,FV29650,0,"Fever\29650_A1.jpg"
FV29787-GRN-M,"Fancy Dress",FV29787,0,"Fever\29787.jpg"
FV29787-GRN-S,"Fancy Dress",FV29787,0,"Fever\29787.jpg"
FV29787-GRN-XS,"Fancy Dress",FV29787,0,"Fever\29787.jpg"
FV29787-CAM-L,"Fancy Dress",FV29787,0
FV30195-BLU-L,"Fancy Dress",FV30195,0,"Fever\30195.jpg"
FV30195-BLU-M,"Fancy Dress",FV30195,0,"Fever\30195.jpg"
FV30195-BLU-S,"Fancy Dress",FV30195,1,"Fever\30195.jpg"
FV30195-BLU-XS,"Fancy Dress",FV30195,0,"Fever\30195.jpg"
FV30211-BLK-L,"Bedroom Costume",FV30211,0,"Fever\30211.jpg"
FV30211-BLK-M,"Bedroom Costume",FV30211,0,"Fever\30211.jpg"
FV30279,Eyelash,FV30279,0,"Fever\30279.jpg"
FV30306,Tutu/Peticoat,FV30306,0,"Fever\30306.jpg"
FV30335,Tutu/Peticoat,FV30335,0,"Fever\30335.jpg"
FV30447-BLK-S,"Fancy Dress",FV30447,0,"Fever\30447.jpg"
FV30462-MUL-M,"Fancy Dress",FV30462,0,"Fever\30462.jpg"
FV30462-MUL-S,"Fancy Dress",FV30462,0,"Fever\30462.jpg"
FV30462-MUL-L,"Fancy Dress",FV30462,0,"Fever\30462.jpg"
FV30694-LEO-L,"Bedroom Costume",FV30694,0,"Fever\30694.jpg"
FV30694-LEO-S,"Bedroom Costume",FV30694,0,"Fever\30694.jpg"
