id,stock_code,associated_ref,stock_desc,long_desc,epos_desc,web_teaser,sell_price,sell_price_web,image_filename,vat_rate,stock_type,stock_type_id,stock_mid_type,stock_mid_type_id,sub_type,stock_sub_type,sub_type_id,manufacturer,supplier_stock_code,lead_time,weight,stock_ttype,stock_ttype_id,web_pageorder,web_colourvalue,deleted,web,discounted,drop_ship,discounts_disabled,run_to_zero,vat_relief_qualified,stock_id,stock_controlled,availability,meta_title,meta_description,meta_keywords,max_display_qty,launch_date,launch_time,reward_points,reorder_multiple,purchase_multiple,min_level,safe_level,height,width,depth,depth,country_of_manufacture
68,ADORE-1018,,"7 Heel, 2 3/4 PF Open Toe/Heel Ankle Boot, Side Zip",,,,40.13,0,?,20,"Platforms (Exotic Dancing)",268,,0,,,0,Pleaser,,1,0,Footwear,14,0,default,0,-1,0,0,0,0,0,153912,0,,,,,0,,,0,1,0,0,0,0,0,0,
69,ADORE-708LG,,"*7"" Heel, 2 3/4"" PF Ankle Strap Sandal W/ Glitter Bottom",,,,33,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45257,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
72,AL-12-1175,,"ALLURE ELECTRA PLAYSET","ALLURE ELECTRA PLAYSET. 100%POLYESTER",,,15.39,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65190,-1,,,,,0,,,0,1,0,0,0,24,17,5,
74,AL-12-1372K,,"KITTEN TALITA BRALETTE SET","KITTEN TALITA BRALETTE SET. 90% Polyester 10% Elastan",,,14.36,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65192,-1,,,,,0,,,0,1,0,0,0,23,15,4,
75,AL-12-1382K,,"KITTEN KAELI BRA, THONG AND GARTER SET","KITTEN KAELI BRA, THONG AND GARTER SET. 90% Polyester 10% Elastan",,,14.36,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65193,-1,,,,,0,,,0,1,0,0,0,23,15,4,
76,AL-12-1775,,"ALLURE FEVER PLAYSET","ALLURE FEVER PLAYSET. 100%POLYESTER",,,15.39,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65194,-1,,,,,0,,,0,1,0,0,0,24,17,5,
78,ADORE-1018-3,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip",,,,68.64,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43302,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
79,ADORE-708LN,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal w/ Clear Stripe Bottom",,,,36.96,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45371,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
81,ADORE-1018C,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot. Side Zip",,,,48.4,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43376,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
85,ADORE-708LS,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal w/ RS Line",,,,36.08,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45387,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
87,ADORE-1018C-RB,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip",,,,47.52,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43367,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
