stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP145056-WHT-XL,"Pouch Short - White X-Large",Shorts,MP145056,1,"Male_Power\145056WH.jpg","Male_Power\145056WH_Back.jpg"
MP14507B-LME-S,"Pouch Short - Lime Small",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-M,"Pouch Short - Lime Medium",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-L,"Pouch Short - Lime Large",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-LME-XL,"Pouch Short - Lime X-Large",Shorts,MP14507B,1,"Male_Power\14507BLM.jpg"
MP14507B-ORG-S,"Pouch Short - Orange Small",Shorts,MP14507B,1,"Male_Power\14507BOR.jpg","Male_Power\14507BOR_Back.jpg"
MP14507B-ORG-L,"Pouch Short - Orange Large",Shorts,MP14507B,1,"Male_Power\14507BOR.jpg","Male_Power\14507BOR_Back.jpg"
MP14507B-ORG-XL,"Pouch Short - Orange X-Large",Shorts,MP14507B,1,"Male_Power\14507BOR.jpg","Male_Power\14507BOR_Back.jpg"
MP14507B-PNK-L,"Pouch Short - Pink Large",Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-PNK-M,"Pouch Short - Pink Medium",Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-PNK-S,"Pouch Short - Pink Small",Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-PNK-XL,"Pouch Short - Pink X-Large",Shorts,MP14507B,1,"Male_Power\14507BPK.jpg"
MP14507B-YEL-S,"Pouch Short - Yellow Small",Shorts,MP14507B,1,"Male_Power\14507BYE.jpg"
MP14507B-YEL-XL,"Pouch Short - Yellow X-Large",Shorts,MP14507B,1,"Male_Power\14507BYE.jpg"
MP145160-GRN-M,"Mini Short - Green Medium",Shorts,MP145160,1,"Male_Power\145160GN_2.jpg","Male_Power\145160GN_Back.jpg"
MP145162-BLK-S,"Mini Short - Black Small",Shorts,MP145162,6,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-BLK-M,"Mini Short - Black Medium",Shorts,MP145162,6,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-BLK-L,"Mini Short - Black Large",Shorts,MP145162,8,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-BLK-XL,"Mini Short - Black X-Large",Shorts,MP145162,5,"Male_Power\145162BK.jpg","Male_Power\145162BK_Back.jpg"
MP145162-RED-S,"Mini Short - Red Small",Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-RED-M,"Mini Short - Red Medium",Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-RED-L,"Mini Short - Red Large",Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
