stock_code,parent_stock_type,parent_stock_code,stock_available
HTIE-GRY-OS,Necktie,HTIE,4,"Hustler\HTIE_GR_01"
HTIE-PNK-OS,Necktie,HTIE,3,"Hustler\HTIE_PNK_01"
HTIE-RED-OS,Necktie,HTIE,4,"Hustler\HTIE_RED_01"
HTIE-WNE-OS,Necktie,HTIE,1,"Hustler\HTIE_WINE_01"
HU16328-GRY-S,Skirt,HU16328,4,"Hustler\HU16328_GR_01"
HU16328-PNK-L,Skirt,HU16328,6,"Hustler\HU16328_PNK_01"
HU22113-BLK-34D,Bra,HU22113,7,"Hustler\HU22113_BLK_01"
HU22113-BLK-36B,Bra,HU22113,5,"Hustler\HU22113_BLK_01"
HU22113-BLK-38C,Bra,HU22113,6,"Hustler\HU22113_BLK_01"
HU22113-BLK-38D,Bra,HU22113,12,"Hustler\HU22113_BLK_01"
HU22113-PNK-34B,Bra,HU22113,2,"Hustler\HU22113_PNK_01"
HU22113-PNK-34C,Bra,HU22113,6,"Hustler\HU22113_PNK_01"
HU22113-PNK-34D,Bra,HU22113,8,"Hustler\HU22113_PNK_01"
HU22113-PNK-36B,Bra,HU22113,7,"Hustler\HU22113_PNK_01"
HU22113-PNK-36C,Bra,HU22113,5,"Hustler\HU22113_PNK_01"
HU22113-PNK-36D,Bra,HU22113,6,"Hustler\HU22113_PNK_01"
HU22113-PNK-36DD,Bra,HU22113,1,"Hustler\HU22113_PNK_01"
HU22113-PNK-38C,Bra,HU22113,5,"Hustler\HU22113_PNK_01"
HU22113-PNK-38D,Bra,HU22113,8,"Hustler\HU22113_PNK_01"
HU22113-PNK-38DD,Bra,HU22113,1,"Hustler\HU22113_PNK_01.jpg"
HU22115-WHT-36D,Bra,HU22115,5,"Hustler\HU22115_WHT_01"
HU3-BLK-S/M,Chemise,HU3,16,"Hustler\HU3"
HU3-BLK-M/L,Chemise,HU3,10,"Hustler\HU3"
HU8-M/L-BLK,Teddy,HU8,2,"Hustler\HU8-BLK_01"
HU9-RED-S/M,Chemise,HU9,1,"Hustler\HU9"
NU11-BLK-S/M,"Mens Dress Up",NU11,0,"Hustler\NU11-BLK_01"
NU11-RED-S/M,"Mens Dress Up",NU11,7,"Hustler\NU11-RED_01"
NU5-BLK-M/L,Shorts,NU5,1,"Hustler\NU5-BLK_01"
NU5-BLK-S/M,Shorts,NU5,1,"Hustler\NU5-BLK_01"
NU5-WHT-S/M,Shorts,NU5,1,"Hustler\NU5-WHT_01"
NU7-BLK-S/M,Thong,NU7,6,"Hustler\NU7_01"
HP1-BLK-M/L,Thong,HP1,7,"Hustler\HP1-Front"
HP2-BLK-M/L,Thong,HP2,1,"Hustler\HP2_01"
