stock_code,parent_stock_type,parent_stock_code,stock_available
STM10672X-RED-1X/2X,Babydoll,STM10672X-RED-1X/2X,60,"STM\10672X_RED_F.jpg","STM\10672X_RED_B.jpg"
STM10672X-RED-3X/4X,Babydoll,STM10672X,60,"STM\10672X_RED_F.jpg","STM\10672X_RED_B.jpg"
STM10672X-EMR-1X/2X,Babydoll,STM10672X,1,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-EMR-3X/4X,Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-WHT-1X/2X,Babydoll,STM10672X,1,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-WHT-3X/4X,Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-WHT-5X/6X,Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-BLK-5X/6X,Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-NVY-5X/6X,Babydoll,STM10672X,10,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-RED-5X/6X,Babydoll,STM10672X,38,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10676P,"Bedroom Costume",STM10676P,0,"STM\10676P_RED_F.jpg","STM\10676P_RED_B.jpg"
STM10676XP,"Bedroom Costume",STM10676XP,1,"STM\10676XP_RED_F.jpg","STM\10676XP_RED_B.jpg"
STM10692-BLK-S,Teddy,STM10692,0,"STM\10692_Black_F.JPG","STM\10692_Black_B.JPG"
STM10692-BLK-XL,Teddy,STM10692,9,"STM\10692_Black_F.JPG","STM\10692_Black_B.JPG"
STM10692X-BLK-1X/2X,Teddy,STM10692X,1,"STM\10692X_Black_F.JPG","STM\10692X_Black_B.JPG"
STM10692X-BLK-3X/4X,Teddy,STM10692X,6,"STM\10692X_Black_F.JPG","STM\10692X_Black_B.JPG"
STM10692X-NVY-1X2X,Teddy,STM10692X,1,"STM\10692X_Black_F.JPG","STM\10692X_Black_B.JPG"
STM10695-BLK-OS,"Gowns & Robes",STM10695-BLK-OS,27,"STM\10695_BLACK_F.jpg","STM\10695_BLACK_B.jpg"
STM10695-WHT-OS,"Gowns & Robes",STM10695,2,"STM\10695_WHITE_F.jpg","STM\10695_WHITE_B.jpg"
STM10695-RED-OS,"Gowns & Robes",STM10695-RED-OS,26,"STM\10695_RED_F.jpg","STM\10695_RED_B.jpg"
STM10695X-BLK-QUEEN,"Gowns & Robes",STM10695X-BLK-QUEEN,24,"STM\10695X_BLACK_F.jpg","STM\10695X_BLACK_B.jpg"
STM10695X-RED-QUEEN,"Gowns & Robes",STM10695X-RED-QUEEN,43,"STM\10695X_RED_F.jpg","STM\10695X_RED_B.jpg"
STM10695X-WHT-QUEEN,"Gowns & Robes",STM10695X,0,"STM\10695X_WHITE_F.jpg","STM\10695X_WHITE_B.jpg"
STM10697-BLK-S,Babydoll,STM10697,59,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
