stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MSPAK243-BLK-S/M,"Urania - Black Small/Medium",Bondage,MSPAK243,5,product,"Magic Silk\PAK-243ST.jpg","Magic Silk\PAK-243ST_Back.jpg"
MSPAK244-BLK-QUEEN,"Juno - Black Queen Size",Bondage,MSPAK244,3,product,"Magic Silk\PAK-244ST_QS .jpg","Magic Silk\PAK-244ST_ALT_QS .jpg","Magic Silk\PAK-244ST_Back_QS .jpg"
MSPAK244-BLK-L/XL,"Juno - Black Large/X-Large",Bondage,MSPAK244,5,product,"Magic Silk\PAK-244ST.jpg","Magic Silk\PAK-244ST_Back.jpg"
MSPAK245-BLK-QUEEN,"Portia - Black Queen Size",Bondage,MSPAK245,6,product,"Magic Silk\PAK-245ST_QS .jpg","Magic Silk\PAK-245ST_ALT_QS .jpg","Magic Silk\PAK-245ST_ALT2_QS .jpg","Magic Silk\PAK-245ST_Back_QS .jpg"
MSPAK245-BLK-S/M,"Portia - Black Small/Medium",Bondage,MSPAK245,3,product,"Magic Silk\PAK-245ST.jpg","Magic Silk\PAK-245ST_Back.jpg"
MSPAK245-BLK-L/XL,"Portia - Black Large/X-Large",Bondage,MSPAK245,8,product,"Magic Silk\PAK-245ST.jpg","Magic Silk\PAK-245ST_Back.jpg"
MSPAK246-BLK-L/XL,"Delilah - Black Large/X-Large",Bondage,MSPAK246,6,product,"Magic Silk\PAK-246ST.jpg","Magic Silk\PAK-246ST_Back.jpg"
MSPAK246-BLK-S/M,"Delilah - Black Small/Medium",Bondage,MSPAK246,4,product,"Magic Silk\PAK-246ST.jpg","Magic Silk\PAK-246ST_Back.jpg"
MSPAK247-BLK-L/XL,"Clio - Black Large/X-Large",Bondage,MSPAK247,1,product,"Magic Silk\PAK-247ST.jpg","Magic Silk\PAK-247ST_Back.jpg"
MSPAK247-BLK-S/M,"Clio - Black Small/Medium",Bondage,MSPAK247,2,product,"Magic Silk\PAK-247ST.jpg","Magic Silk\PAK-247ST_Back.jpg"
MSPAK248,,Bondage,MSPAK248,0,product,"Magic Silk\PAK-248ST_QS .jpg","Magic Silk\PAK-248ST.jpg","Magic Silk\PAK-248ST_ALT_QS .jpg","Magic Silk\PAK-248ST_ALT2_QS .jpg","Magic Silk\PAK-248ST_Back.jpg","Magic Silk\PAK-248ST_Back_QS .jpg","Magic Silk\PAK-248ST_QS .jpg","Magic Silk\PAK-248ST_ALT_QS .jpg","Magic Silk\PAK-248ST_ALT2_QS .jpg","Magic Silk\PAK-248ST_Back_QS .jpg"
MSPAK249-BLK-L/XL,"Concordia - Black Large/X-Large",Bondage,MSPAK249,3,product,"Magic Silk\PAK-249ST.jpg","Magic Silk\PAK-249ST_Back.jpg"
MSPAK249-BLK-QUEEN,"Concordia - Black Queen Size",Bondage,MSPAK249,4,product,"Magic Silk\PAK-249ST_QS .jpg","Magic Silk\PAK-249ST_ALT_QS .jpg","Magic Silk\PAK-249ST_Back_QS .jpg"
MSPAK251-BLK-L/XL,"Harlot - Black Large/X-Large",Bondage,MSPAK251,1,product,"Magic Silk\PAK-251ST.jpg","Magic Silk\PAK-251ST_Back.jpg"
MSPAK251-BLK-S/M,"Harlot - Black Small/Medium",Bondage,MSPAK251,4,product,"Magic Silk\PAK-251ST.jpg","Magic Silk\PAK-251ST_Back.jpg"
MSPAK252-BLK-L/XL,"Chloe - Black Large/X-Large",Bondage,MSPAK252,5,product,"Magic Silk\PAK-252ST.jpg","Magic Silk\PAK-252ST_Back.jpg"
MSPAK252-BLK-S/M,"Chloe - Black Small/Medium",Bondage,MSPAK252,4,product,"Magic Silk\PAK-252ST.jpg","Magic Silk\PAK-252ST_Back.jpg"
MSPAK253-BLK-S/M,,Bondage,MSPAK253-BLK-S/M,0,product,"Magic Silk\PAK-253ST.jpg","Magic Silk\PAK-253ST_Back.jpg"
MSPAK253-BLK-QUEEN,"Orthia - Black Queen Size",Bondage,MSPAK253,3,product,"Magic Silk\PAK-253ST_QS.jpg","Magic Silk\PAK-253ST_ALT_QS .jpg","Magic Silk\PAK-253ST_Back_QS.jpg"
MSB440-BLK-LXL,"Magic Silk Cupless Corset, Zipper  / Black / Large/X-Large","Bustiers & Corsets",MSB440,1,product,"Magic Silk\B440BLK.jpg","Magic Silk\B440BLK_Back.jpg"
MSB441-BLK-LXL,"Magic Silk Chain Corset & G-String / Black / Large/X-Large","Bustiers & Corsets",MSB441,2,product,"Magic Silk\B441BLK.jpg","Magic Silk\B441BLK_Back.jpg"
MSB441-BLK-SM,"Magic Silk Chain Corset & G-String / Black / Small/Medium","Bustiers & Corsets",MSB441,1,product,"Magic Silk\B441BLK.jpg","Magic Silk\B441BLK_Back.jpg"
MSB443-BLK-LXL,"Magic Silk Cupless Teddy Herring / Black / Large/X-Large",Teddy,MSB443,1,product,"Magic Silk\B443.jpg","Magic Silk\B443_B_files\B443_B.jpg"
MSB455-BLK-LXL,"Magic Silk Lace V-Teddy / Black / Large/X-Large",Teddy,MSB455,6,product,"Magic Silk\B455BLK.jpg","Magic Silk\B455BLK_Back.jpg"
MSB455-BLK-SM,"Magic Silk Lace V-Teddy / Black / Small/Medium",Teddy,MSB455,1,product,"Magic Silk\B455BLK.jpg","Magic Silk\B455BLK_Back.jpg"
MSB455-WHT-LXL,"Magic Silk Lace V-Teddy / White / Large/X-Large",Teddy,MSB455,2,product,"Magic Silk\B455WHT.jpg","Magic Silk\B455WHT_Back.jpg"
MSB456-PNK-LXL,"Magic Silk Lace Diamond Teddy / Pink / Large/X-Large",Teddy,MSB456,4,product,"Magic Silk\B456PIN.jpg","Magic Silk\B456PIN_Back.jpg"
MSB456-BLK-LXL,"Magic Silk Lace Diamond Teddy / Black / Large/X-Large",Teddy,MSB456,4,product,"Magic Silk\B456BLK.jpg","Magic Silk\B456BLK_Back.jpg"
MSB456-BLK-SM,"Magic Silk Lace Diamond Teddy / Black / Small/Medium",Teddy,MSB456,4,product,"Magic Silk\B456BLK.jpg","Magic Silk\B456BLK_Back.jpg"
MSB456-WHT-LXL,"Magic Silk Lace Diamond Teddy / White / Large/X-Large",Teddy,MSB456,1,product,"Magic Silk\B456WHT.jpg","Magic Silk\B456WHT_Back.jpg"
MSB457-WHT-LXL,"Magic Silk Arrow Teddy With Garters / White / Large/X-Large",Teddy,MSB457,2,product,"Magic Silk\B457-WHT.jpg","Magic Silk\B457-WHT-B.jpg"
MSB458-WHT-LXL,"Magic Silk Cupless Bow Teddy  / White / Large/X-Large",Teddy,MSB458,2,product,"Magic Silk\B458 white.jpg","Magic Silk\B458 white back.jpg"
MSB459-WHT-LXL,"Magic Silk Lace Bow Teddy / White / Large/X-Large",Teddy,MSB459,2,product,"Magic Silk\B459WHT.jpg","Magic Silk\B459WHT_Back.jpg"
MSB459-BLK-LXL,"Magic Silk Lace Bow Teddy / Black / Large/X-Large",Teddy,MSB459,1,product,"Magic Silk\B459BLK.jpg","Magic Silk\B459BLK_Back.jpg"
MSB459-PNK-LXL,"Magic Silk Lace Bow Teddy / Pink / Large/X-Large",Teddy,MSB459,2,product,"Magic Silk\B459PIN.jpg","Magic Silk\B459PIN_Back.jpg"
MSB459-YEL-LXL,"Magic Silk Lace Bow Teddy / Yellow / Large/X-Large",Teddy,MSB459,1,product,"Magic Silk\B459YEL.jpg","Magic Silk\B459YEL_Back.jpg"
MSB461-BLK-LXL,"Magic Silk Front Ring Dress & G-String / Black / Large/X-Large",Dress,MSB461,3,product,"Magic Silk\B461BLK.jpg","Magic Silk\B461BLK_Back.jpg"
MSB477-RED-LXL,"Magic Silk Wrap & G-String / Red / Large/X-Large",Wrap,MSB477,2,product,"Magic Silk\B477RED.jpg","Magic Silk\B477RED_Back.jpg"
MSB477-WHT-SM,"Magic Silk Wrap & G-String / White / Small/Medium",Wrap,MSB477,1,product,"Magic Silk\B477WHT.jpg","Magic Silk\B477WHT_Back.jpg"
MSB484-BLK-SM,"Magic Silk Long Sleeve Dress & G-String  / Black / Small/Medium",Dress,MSB484,2,product,"Magic Silk\B484BLK.jpg","Magic Silk\B484BLK_Back.jpg"
MSB486-BLK-SM,"Magic Silk Peek-a-Boo Sleeve Top, Skirt & G-String / Black / Small/Medium","Bra Set",MSB486,2,product,"Magic Silk\B486BLK.jpg","Magic Silk\B486BLK_Back.jpg"
MSB496-BLK-LXL,"Magic Silk Cap Sleeve Top And Skirt Set  / Black / Large/X-Large","Bra Set",MSB496,2,product,"Magic Silk\B496BLK.jpg","Magic Silk\B496BLK_Back.jpg"
MSB496-BLK-SM,"Magic Silk Cap Sleeve Top And Skirt Set  / Black / Small/Medium","Bra Set",MSB496,1,product,"Magic Silk\B496BLK.jpg","Magic Silk\B496BLK_Back.jpg"
MSB498-BLK-LXL,"Magic Silk Cut Out Merrywidow And G-String / Black / Large/X-Large",Babydoll,MSB498,1,product,"Magic Silk\B498BLK.jpg","Magic Silk\B498BLK_Back.jpg"
MSB498-BLK-SM,"Magic Silk Cut Out Merrywidow And G-String / Black / Small/Medium",Babydoll,MSB498,1,product,"Magic Silk\B498BLK.jpg","Magic Silk\B498BLK_Back.jpg"
MSB498-PNK-LXL,"Magic Silk Cut Out Merrywidow And G-String / Pink / Large/X-Large",Babydoll,MSB498,1,product,"Magic Silk\B498PIN.jpg","Magic Silk\B498PIN_Back.jpg"
MSB501-BLK-SM,"Magic Silk Plunge Body Suit with Snap Crotch / Black / Small/Medium",Bodysuit,MSB501,1,product,"Magic Silk\B501BLK.jpg","Magic Silk\B501BLK_Back.jpg"
MSB540-BLK-SM,"Magic Silk Merrywidow & G-String / Black / Small/Medium",Babydoll,MSB540,4,product,"Magic Silk\B540BLK_2.jpg","Magic Silk\B540BLK_Back.jpg"
MSB567-BLK-OS,"Magic Silk Finger Loop Gloves / Black / One Size",Gloves,MSB567,4,product,"Male_Power\B567BLK",
MSB570-BLK-LXL,"Magic Silk Cutout Mini Dress & G-String / Black / Large/X-Large",Dress,MSB570,1,product,"Magic Silk\B570BLK.jpg","Magic Silk\B570BLK_Back.jpg"
MSB591-BLK-LXL,"Magic Silk Merrywidow Jacket & G-String / Black / Large/X-Large",Babydoll,MSB591,3,product,"Magic Silk\B591BLK.jpg","Magic Silk\B591BLK_Back.jpg"
MSB591-BLK-SM,"Magic Silk Merrywidow Jacket & G-String / Black / Small/Medium",Babydoll,MSB591,4,product,"Magic Silk\B591BLK.jpg","Magic Silk\B591BLK_Back.jpg"
MSB592-BLK-LXL,"Magic Silk Cupless Merrywidow & G-String / Black / Large/X-Large",Babydoll,MSB592,2,product,"Magic Silk\B592BLK.jpg","Magic Silk\B592BLK_Back.jpg"
MSB592-BLK-SM,"Magic Silk Cupless Merrywidow & G-String / Black / Small/Medium",Babydoll,MSB592,2,product,"Magic Silk\B592BLK.jpg","Magic Silk\B592BLK_Back.jpg"
MSB594-BLK-SM,"Magic Silk Bra, Strappy Garter & G-String / Black / Small/Medium","Bra Set",MSB594,4,product,"Magic Silk\B594BLK.jpg","Magic Silk\B594BLK_Back.jpg"
MSB606-BLK-LXL,"Magic Silk Cupless & Crotchless Romper / Black / Large/X-Large",Teddy,MSB606,6,product,"Magic Silk\B606BLK.jpg","Magic Silk\B606BLK_Back.jpg"
MSB606-BLK-SM,"Magic Silk Cupless & Crotchless Romper / Black / Small/Medium",Teddy,MSB606,2,product,"Magic Silk\B606BLK.jpg","Magic Silk\B606BLK_Back.jpg"
MSB607-BLK-LXL,"Magic Silk Cut Out Bra & Thong / Black / Large/X-Large","Bra Set",MSB607,4,product,"Magic Silk\B607BLK.jpg","Magic Silk\B607BLK_Back.jpg"
MSB607-BLK-SM,"Magic Silk Cut Out Bra & Thong / Black / Small/Medium","Bra Set",MSB607,3,product,"Magic Silk\B607BLK.jpg","Magic Silk\B607BLK_Back.jpg"
MSB612-PUR-SM,"Magic Silk Spider Mesh Bra Set  / Purple / Small/Medium","Bra Set",MSB612,1,product,"Magic Silk\B612-Purple.jpg","Magic Silk\B612-back.jpg"
MSB613-PUR-LXL,"Magic Silk Mesh Strappy Bra Set  / Purple / Large/X-Large","Bra Set",MSB613,1,product,"Magic Silk\B613-Purple.jpg","Magic Silk\B613-back.jpg"
MSB613-PUR-SM,"Magic Silk Mesh Strappy Bra Set  / Purple / Small/Medium","Bra Set",MSB613,1,product,"Magic Silk\B613-Purple.jpg","Magic Silk\B613-back.jpg"
MSB614-PNK-LXL,"Magic Silk Cutout Teddy / Pink / Large/X-Large",Teddy,MSB614,2,product,"Magic Silk\B614PIN.jpg","Magic Silk\B614PIN_Back.jpg"
MSB614-PNK-SM,"Magic Silk Cutout Teddy / Pink / Small/Medium",Teddy,MSB614,2,product,"Magic Silk\B614PIN.jpg","Magic Silk\B614PIN_Back.jpg"
MSB618-PNK-SM,"Magic Silk Cupless Merrywidow & G-String / Pink / Small/Medium",Babydoll,MSB618,1,product,"Magic Silk\B618PIN.jpg","Magic Silk\B618PIN_Back.jpg"
MSB620-PNK-SM,"Magic Silk Peek-a-Boo Bustier & G-String / Pink / Small/Medium","Bustiers & Corsets",MSB620,1,product,"Magic Silk\B620PIN.jpg","Magic Silk\B620PIN_Back.jpg"
MSB621-BLK-L,"Magic Silk Peek-a-Boo Babydoll & G-String / Black / Large",Babydoll,MSB621,1,product,"Magic Silk\B621BLK_2.jpg","Magic Silk\B621BLK_Back.jpg"
MSB621-BLK-XL,"Magic Silk Peek-a-Boo Babydoll & G-String / Black / X-Large",Babydoll,MSB621,1,product,"Magic Silk\B621BLK_2.jpg","Magic Silk\B621BLK_Back.jpg"
MSB621-PNK-L,"Magic Silk Peek-a-Boo Babydoll & G-String / Pink / Large",Babydoll,MSB621,1,product,"Magic Silk\B621PIN.jpg","Magic Silk\B621PIN_Back.jpg"
MSB622-PNK-M,"Magic Silk Peek-a-Boo Teddy / Pink / Medium",Teddy,MSB622,2,product,"Magic Silk\B622PIN.jpg","Magic Silk\B622PIN_Back.jpg"
MSB623-CRL-LXL,"Magic Silk Peek-a-Boo Bra & Crotchless G-String Set / Coral / Large/X-Large","Bra Set",MSB623,1,product,"Magic Silk\B623COR.jpg","Magic Silk\B623COR_Back.jpg"
MSB623-CRL-SM,"Magic Silk Peek-a-Boo Bra & Crotchless G-String Set / Coral / Small/Medium","Bra Set",MSB623,1,product,"Magic Silk\B623COR.jpg","Magic Silk\B623COR_Back.jpg"
MSB625-CRL-LXL,"Magic Peek-a-Boo Babydoll & Crotchless G-String Se / Coral / Large/X-Large",Babydoll,MSB625,1,product,"Magic Silk\B625COR.jpg","Magic Silk\B625COR_Back.jpg"
MSB625-CRL-SM,"Magic Peek-a-Boo Babydoll & Crotchless G-String Se / Coral / Small/Medium",Babydoll,MSB625,1,product,"Magic Silk\B625COR.jpg","Magic Silk\B625COR_Back.jpg"
