stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MSB626-CRL-LXL,"Magic Silk Peek-a-Boo Teddy / Coral / Large/X-Large",Teddy,MSB626,1,product,"Magic Silk\B626COR.jpg","Magic Silk\B626COR_Back.jpg"
MSB626-CRL-SM,"Magic Silk Peek-a-Boo Teddy / Coral / Small/Medium",Teddy,MSB626,2,product,"Magic Silk\B626COR.jpg","Magic Silk\B626COR_Back.jpg"
MSB628-BLK-L,"Magic Silk Peek-a-Boo Bra & Crotchless Thong / Black / Large","Bra Set",MSB628,1,product,"Magic Silk\B628BLK.jpg","Magic Silk\B628BLK_Back.jpg"
MSB628-BLK-XL,"Magic Silk Peek-a-Boo Bra & Crotchless Thong / Black / X-Large","Bra Set",MSB628,1,product,"Magic Silk\B628BLK.jpg","Magic Silk\B628BLK_Back.jpg"
MSB638-SLV-SM,"Magic Silk Zipper Back Tube Dress & G-String / Silver / Small/Medium",Dress,MSB638,1,product,"Magic Silk\B638SIL.jpg","Magic Silk\B638SIL_Back.jpg"
MSB639-SLV-LXL,"Magic Silk Bandeau & Short Set / Silver / Large/X-Large","Bra Set",MSB639,1,product,"Magic Silk\B639SIL.jpg","Magic Silk\B639SIL_Back.jpg"
MSB639-SLV-SM,"Magic Silk Bandeau & Short Set / Silver / Small/Medium","Bra Set",MSB639,2,product,"Magic Silk\B639SIL.jpg","Magic Silk\B639SIL_Back.jpg"
MSB641-SLV-LXL,"Magic Silk Bra & Tie Thong Set  / Silver / Large/X-Large","Bra Set",MSB641,2,product,"Magic Silk\B641SIL.jpg","Magic Silk\B641SIL_Back.jpg"
MSB644-SLV-LXL,"Magic Silk Romper / Silver / Large/X-Large",Teddy,MSB644,1,product,"Magic Silk\B644SIL.jpg","Magic Silk\B644SIL_Back.jpg"
MSB645-SLV-SM,"Magic Silk Tube Dress & G-String Set / Silver / Small/Medium",Dress,MSB645,1,product,"Magic Silk\B645SIL.jpg","Magic Silk\B645SIL_Back.jpg"
MSB647-PNK-LXL,"Magic Silk Glimmer Mist Cupless Teddy / Pink / Large/X-Large",Teddy,MSB647,1,product,"Magic Silk\B647PIN.jpg","Magic Silk\B647PIN_Back.jpg"
MSB648-PNK-LXL,"Magic Silk Cupless Chemise & G-String Set / Pink / Large/X-Large",Chemise,MSB648,5,product,"Magic Silk\B648PIN.jpg","Magic Silk\B648PIN_Back.jpg"
MSB648-PNK-SM,"Magic Silk Cupless Chemise & G-String Set / Pink / Small/Medium",Chemise,MSB648,6,product,"Magic Silk\B648PIN.jpg","Magic Silk\B648PIN_Back.jpg"
MSB651-BLU-SM,"Magic Silk Zigzag Dress & G-String Set / Blue / Small/Medium",Dress,MSB651,2,product,"Magic Silk\B651BLU.jpg","Magic Silk\B651BLU_Back.jpg"
MSB652,,"Bra Set",MSB652,0,product,"Magic Silk\B652BLK.jpg","Magic Silk\B652BLK_Back.jpg"
MSB668-BLU-LXL,"Magic Silk Zipper Back Tube Dress & G-String  / Blue / Large/X-Large",Dress,MSB668,1,product,"Magic Silk\B668BLU.jpg","Magic Silk\B668BLU_Back.jpg"
MSB668-LME-LXL,"Magic Silk Zipper Back Tube Dress & G-String  / Lime / Large/X-Large",Dress,MSB668,1,product,"Magic Silk\B668LIM.jpg","Magic Silk\B668LIM_Back.jpg"
MSB668-PNK-LXL,"Magic Silk Zipper Back Tube Dress & G-String  / Pink / Large/X-Large",Dress,MSB668,1,product,"Magic Silk\B668FUS.jpg","Magic Silk\B668FUS_Back.jpg"
MSB669-PNK-LXL,"Magic Silk Bandeau & Boy Short / Pink / Large/X-Large","Bra Set",MSB669,1,product,"Male_Power\B669FUS",
MSB681-PNK/PUR-M,"Magic Silk Teddy With Snap Crotch / Pink/Purple / Medium",Teddy,MSB681,1,product,"Male_Power\B681PPL",
MSB682-PUR-M,"Magic Silk Bra, Gartered Panty Set / Purple / Medium","Bra Set",MSB682,1,product,"Magic Silk\B682PPL.jpg","Magic Silk\B682PPL_Back.jpg"
