stock_code,description,parent_stock_type,parent_stock_code,stock_available
BW3055,,Chemise,BW3055,158,"Baci\BW3055_01","Baci\BW3055_02.jpg"
BW3057,,Chemise,BW3057,22,"Baci\BW3057_01","Baci\BW3057_02.jpg"
BW3058,,Chemise,BW3058,3,"Baci\BW3058_01","Baci\BW3058_02.jpg"
BW3060,,Chemise,BW3060,18,"Baci\BW3060_01","Baci\BW3060_02.jpg"
BW3068,,Babydoll,BW3068,2,"Baci\BW3068_01","Baci\BW3068_02.jpg"
BW3072,,"Bra Set",BW3072,52,"Baci\BW3072_01","Baci\BW3072_02.jpg"
BW3076,,Garterbelt,BW3076,19,"Baci\BW3076_01","Baci\BW3076_02.jpg"
BW3077,,"Leg Garter",BW3077,1,"Baci\BW3077_01"
BW3078,,"Leg Garter",BW3078,73,"Baci\BW3078_01"
BW3079,,"Leg Garter",BW3079,192,"Baci\BW3079_01"
BW3082,,Masks,BW3082,44,"Baci\BW3082_01"
BW3108,,"Bustiers & Corsets",BW3108,23,"Baci\3108-LEO_front","Baci\3108-LEO_back.jpg"
BW471,,Pantyhose,BW471,7,"Baci\BW471_01.jpg","Baci\BW471_02.jpg"
BW128-PNK-M,"Crotchless lace panties - Pink Medium",Knicker,BW128,101,"Baci\BW128_01.jpg","Baci\BW128_02.jpg"
BW128-PNK-L,"Crotchless lace panties - Pink Large",Knicker,BW128,10,"Baci\BW128_01.jpg","Baci\BW128_02.jpg"
BD1246-BLK-QUEEN,"Mesh Blouse & Pin Stripe Skirt Set - Black Queen Size","Bedroom Costume",BD1246,1,"Baci\BD1246_003_01.jpg","Baci\BD1246_003_02.jpg"
BD1246-BLK-DIVA,"Mesh Blouse & Pin Stripe Skirt Set - Black Diva Size","Bedroom Costume",BD1246,4,"Baci\BD1246_003_01.jpg","Baci\BD1246_003_02.jpg"
BD1217-BLK-M/L,"Mesh Chemise, Gold Badge & Headwear Set - Black Medium/Large","Bedroom Costume",BD1217,8,"Baci\BD1217_01","Baci\BD1217_02.jpg"
BD1217-BLK-QUEEN,"Mesh Chemise, Gold Badge & Headwear Set - Black Queen Size","Bedroom Costume",BD1217,31,"Baci\BD1217_01","Baci\BD1217_02.jpg"
BD1217-BLK-DIVA,"Mesh Chemise, Gold Badge & Headwear Set - Black Diva Size","Bedroom Costume",BD1217,37,"Baci\BD1217_01","Baci\BD1217_02.jpg"
BD1220-WHT-QS,"Airlines First Class Flight Attendant / White / Queen Size","Bedroom Costume",BD1220,25,"Baci\1220_front.jpg"
BD1221-BLK-OS,"Black stewardess uniform / Black / One Size","Bedroom Costume",BD1221,6,"Baci\1221_front.jpg"
BD1227-WHT/RED-QUEEN,"Top and Mini Skirt with Garter - White/Red Queen Size","Bedroom Costume",BD1227,80,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1227-WHT/RED-DIVA,"Top and Mini Skirt with Garter - White/Red Diva Size","Bedroom Costume",BD1227,32,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1227-WHT/RED-S/M,"Top and Mini Skirt with Garter - White/Red Small/Medium","Bedroom Costume",BD1227,0,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1227-WHT/RED-M/L,"Top and Mini Skirt with Garter - White/Red Medium/Large","Bedroom Costume",BD1227,0,"Baci\BD1227_03","Baci\BD1227_02.jpg"
BD1228,,"Bedroom Costume",BD1228,0,"Baci\1228_front.jpg"
BD1231-BLK/RED-S/M,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Small/Medium","Bedroom Costume",BD1231,19,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1231-BLK/RED-M/L,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Medium/Large","Bedroom Costume",BD1231,136,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1231-BLK/RED-QUEEN,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Queen Size","Bedroom Costume",BD1231,3,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1231-BLK/RED-DIVA,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Diva Size","Bedroom Costume",BD1231,80,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1243-BLK/RED-M/L,"Mini Dress, Panty and Hat - Black/Red Medium/Large","Bedroom Costume",BD1243,26,"Baci\BD1243_01"
BD1243-BLK/RED-S/M,"Mini Dress, Panty and Hat - Black/Red Small/Medium","Bedroom Costume",BD1243,7,"Baci\BD1243_01","Baci\BD1243_02.jpg"
BD1243-BLK/RED-QUEEN,"Mini Dress, Panty and Hat - Black/Red Queen Size","Bedroom Costume",BD1243,31,"Baci\BD1243_01","Baci\BD1243_02.jpg"
BD1243-BLK/RED-DIVA,"Mini Dress, Panty and Hat - Black/Red Diva Size","Bedroom Costume",BD1243,33,"Baci\BD1243_01","Baci\BD1243_02.jpg"
BD1250,,"Bedroom Costume",BD1250,0,"Baci\1250_front.jpg"
BD1291-BLK/BLU-OS,"Top with Badge ,Garter, Panty and Hat - Black/Blue One Size","Bedroom Costume",BD1291,39,"Baci\BD1291_01","Baci\BD1291_02.jpg"
BD1291-BLK/BLU-QUEEN,"Top with Badge ,Garter, Panty and Hat - Black/Blue Queen Size","Bedroom Costume",BD1291,74,"Baci\BD1291_01","Baci\BD1291_02.jpg"
BD1291-BLK/BLU-DIVA,"Top with Badge ,Garter, Panty and Hat - Black/Blue Diva Size","Bedroom Costume",BD1291,85,"Baci\BD1291_01","Baci\BD1291_02.jpg"
BD1297-BLK/WHT-M/L,"Stripe Bra, Mesh Skirt, Collar Chain Set - Black/White Medium/Large","Bedroom Costume",BD1297,59,"Baci\BD1297_01","Baci\BD1297_02.jpg"
BD1297-BLK/WHT-S/M,"Stripe Bra, Mesh Skirt, Collar Chain Set - Black/White Small/Medium","Bedroom Costume",BD1297,37,"Baci\BD1297_01","Baci\BD1297_02.jpg"
BD1298-BLK/BLU-M/L,"Mesh Chemise, Panty, Garter, Badge, Tie & Headwear Set - Black/Blue Medium/Large","Bedroom Costume",BD1298,13,"Baci\BD1298_01","Baci\BD1298_02.jpg"
BD1298-BLK/BLU-S/M,"Mesh Chemise, Panty, Garter, Badge, Tie & Headwear Set - Black/Blue Small/Medium","Bedroom Costume",BD1298,9,"Baci\BD1298_01","Baci\BD1298_02.jpg"
BD1298-BLK/BLU-QUEEN,"Mesh Chemise, Panty, Garter, Badge, Tie & Headwear Set - Black/Blue Queen Size","Bedroom Costume",BD1298,17,"Baci\BD1298_01","Baci\BD1298_02.jpg"
BD1302-BLK/WHT-M/L,"Tie Top, Mini Skirt and cuffs with chain - Black/White Medium/Large","Bedroom Costume",BD1302,88,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-S/M,"Tie Top, Mini Skirt and cuffs with chain - Black/White Small/Medium","Bedroom Costume",BD1302,83,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-QUEEN,"Tie Top, Mini Skirt and cuffs with chain - Black/White Queen Size","Bedroom Costume",BD1302,91,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-DIVA,"Tie Top, Mini Skirt and cuffs with chain - Black/White Diva Size","Bedroom Costume",BD1302,94,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-DS,"Tie Top, Mini Skirt and cuffs with chain - Black & White Diva Size","Bedroom Costume",BD1302,0,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-QS,"Tie Top, Mini Skirt and cuffs with chain - Black & White Queen Size","Bedroom Costume",BD1302,0,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1306-CAMO-S/M,"Red Scarf, Mesh Bra and Skirt - Camouflage Small/Medium","Bedroom Costume",BD1306,21,"Baci\BD1306_01"
BD1306-CAMO-M/L,"Red Scarf, Mesh Bra and Skirt - Camouflage Medium/Large","Bedroom Costume",BD1306,11,"Baci\BD1306_01"
BD1312-BLK-DIVA,"Eye Mask, Collar with Cuff, Panty and Leg Garter - Black Diva Size","Bedroom Costume",BD1312,34,"Baci\1312_front","Baci\1312_back.jpg"
BD1312-BLK-QUEEN,"Eye Mask, Collar with Cuff, Panty and Leg Garter - Black Queen Size","Bedroom Costume",BD1312,17,"Baci\1312_front","Baci\1312_back.jpg"
BD1332-BLK/WHT-S/M,"Panty & Headwear Set - Black/White Small/Medium","Bedroom Costume",BD1332,38,"Baci\BD1332_01","Baci\BD1332_02.jpg"
BD1332-BLK/WHT-M/L,"Panty & Headwear Set - Black/White Medium/Large","Bedroom Costume",BD1332,37,"Baci\BD1332_01","Baci\BD1332_02.jpg"
BD1348-BLK/WHT-QUEEN,"Ruffle Bra, Garter Skirt/ Apron & Headwear - Black/White Queen Size","Bedroom Costume",BD1348,13,"Baci\1348_front","Baci\1348_back.jpg"
BD1348-BLK/WHT-DIVA,"Ruffle Bra, Garter Skirt/ Apron & Headwear - Black/White Diva Size","Bedroom Costume",BD1348,13,"Baci\1348_front","Baci\1348_back.jpg"
BD1352-BLK/WHT-ML,"Black and white bikini set with suspenders / Black/White / Medium/Large","Bedroom Costume",BD1352,31,"Baci\1352_front.jpg"
BD1362-BLK/WHT-DIVA,"Apron - Teddy and Collar - Black/White Diva Size","Bedroom Costume",BD1362,64,"Baci\1362_front"
BW006-BLU-L,"Lace & Mesh Thong / Blue / Large",Thong,BW006,27,"Baci\BW006_01.jpg"
BW006-BLU-M,"Lace & Mesh Thong / Blue / Medium",Thong,BW006,39,"Baci\BW006_01.jpg"
BW006-BLU-S,"Lace & Mesh Thong / Blue / Small",Thong,BW006,64,"Baci\BW006_01.jpg"
BW007-WHT-DIVA,"Crotchless Lace Thong - White Diva Size",Knicker,BW007,9,"Baci\BW007_03.jpg","Baci\BW007_04.jpg"
BW013-BLK/PNK-S,"Mesh Boyshort with lace Trim - Black/Pink Small",Boyshort,BW013,91,"Baci\BW013_01.jpg","Baci\BW013_02.jpg"
BW013-BLK/PNK-M,"Mesh Boyshort with lace Trim - Black/Pink Medium",Boyshort,BW013,197,"Baci\BW013_01.jpg","Baci\BW013_02.jpg"
BW013-BLK/PNK-L,"Mesh Boyshort with lace Trim - Black/Pink Large",Boyshort,BW013,160,"Baci\BW013_01.jpg","Baci\BW013_02.jpg"
BW016-WHT-L,"Lace Thong / White / Large",Thong,BW016,23,"Baci\BW016_01.jpg"
BW016-WHT-M,"Lace Thong / White / Medium",Thong,BW016,28,"Baci\BW016_01.jpg"
BW016-WHT-S,"Lace Thong / White / Small",Thong,BW016,47,"Baci\BW016_01.jpg"
BW017-LPNK-L,"Lace Thong / Light Pink / Large",Thong,BW017,36,"Baci\BW017_01.jpg"
BW017-LPNK-M,"Lace Thong / Light Pink / Medium",Thong,BW017,2,"Baci\BW017_01.jpg"
BW017-LPNK-S,"Lace Thong / Light Pink / Small",Thong,BW017,27,"Baci\BW017_01.jpg"
BW021-WHT-DS,"Lace Low-Rise Booty Shorts / White / Diva Size",Boyshort,BW021,77,"Baci\BW021_03.jpg"
BW021-WHT-L,"Lace Low-Rise Booty Shorts / White / Large",Boyshort,BW021,30,"Baci\BW021_01.jpg"
BW021-WHT-QS,"Lace Low-Rise Booty Shorts / White / Queen Size",Boyshort,BW021,88,"Baci\BW021_03.jpg"
BW041-WHT-DS,"Lace Boyshort / White / Diva Size",Boyshort,BW041,68,"Baci\BW041_03.jpg"
BW041-WHT-QS,"Lace Boyshort / White / Queen Size",Boyshort,BW041,58,"Baci\BW041_03.jpg"
BW053-ZEB-L,"Lace & Microfiber Thong - Zebra Large.",Thong,BW053,58,"Baci\BW053_01.jpg","Baci\BW053_02.jpg"
