stock_code,description,parent_stock_type,parent_stock_code,stock_available
PL23057-BLK-S/M,"Netting Around 2Pc Set - Black Small/Medium",Set,PL23057,8,"PL\23057-BLK-003-Pink-Lipstick-Lingerie-Nettin-Around-2-Piece-High-Neck-Bra-and-Garter-Mini-Skirt-Set","PL\23057-BLK.jpg","PL\23057-BLK-B.jpg"
PL23058-BLK-M/L,"Bound Bra & Strap Panty Set - Black Medium/Large","Bra Set",PL23058,1,"PL\23058-BLK-01","PL\23058-BLK-02.jpg","PL\23058-BLK-03.jpg","PL\23058-BLK-04.jpg","PL\23058-BLK-06.jpg"
PL23058-BLK-S/M,"Bound Bra & Strap Panty Set - Black Small/Medium","Bra Set",PL23058,5,"PL\23058-BLK-01","PL\23058-BLK-02.jpg","PL\23058-BLK-03.jpg","PL\23058-BLK-04.jpg","PL\23058-BLK-06.jpg"
PL23059X-BLK-1X/2X,"Back Talk Bra Set - Black 1X/2X","Bra Set",PL23059X,46,"PL\23059X-BLK-7552","PL\23059X-BLK-7579.jpg","PL\23059X-BLK-7599.jpg"
PL23059X-BLK-3X/4X,"Back Talk Bra Set - Black 3X/4X","Bra Set",PL23059X,56,"PL\23059X-BLK-7552","PL\23059X-BLK-7579.jpg","PL\23059X-BLK-7599.jpg"
PL23060X-BLK-1X/2X,"Ring Leader Strappy Bra Set - Black 1X/2X","Bra Set",PL23060X,0,"PL\23060X-BLK-7990","PL\23060X-BLK-8032.jpg"
PL23060X-BLK-3X/4X,"Ring Leader Strappy Bra Set - Black 3X/4X","Bra Set",PL23060X,1,"PL\23060X-BLK-7990","PL\23060X-BLK-8032.jpg"
PL23062,,"Bra Set",PL23062,10,"PL\23062-BLK-7762","PL\23062-BLK-7772.jpg","PL\23062-BLK-7784.jpg","PL\23062-BLK-7787.jpg","PL\23062-BLK-7797.jpg"
PL23062X,,"Bra Set",PL23062X,2,"PL\23062X-BLK-9915","PL\23062X-BLK-9939.jpg","PL\23062X-BLK-9949.jpg"
PL23063,,"Bra Set",PL23063,1,"PL\23063-BLK","PL\23063-BLK-8121.jpg"
PL23064,,Set,PL23064,0,"PL\23064-BLK-8008","PL\23064-BLK-B.jpg"
PL23065-BLK-M/L,"Truth Or Bare 2Pc Bra Set - Black Medium/Large","Bra Set",PL23065,5,"PL\23065-BLK-0642","PL\23065-BLK-0669.jpg"
PL23065-BLK-S/M,"Truth Or Bare 2Pc Bra Set - Black Small/Medium","Bra Set",PL23065,6,"PL\23065-BLK-0642","PL\23065-BLK-0669.jpg"
PL23065-RED-M/L,"Truth Or Bare 2Pc Bra Set - Red Medium/Large","Bra Set",PL23065,12,"PL\23065-RED-0638","PL\23065-RED-0642.jpg","PL\23065-RED-0664.jpg","PL\23065-RED-0669.jpg"
PL23065-RED-S/M,"Truth Or Bare 2Pc Bra Set - Red Small/Medium","Bra Set",PL23065,10,"PL\23065-RED-0638","PL\23065-RED-0664.jpg","PL\23065-RED-0669.jpg"
PL23065X,,"Bra Set",PL23065X,0,"PL\23065X-BLK-2080","PL\23065X-BLK-2082.jpg","PL\23065X-BLK-2073.jpg","PL\23065X-BLK-2092.jpg"
PL23066-BLK-OS,"Clothing Optional 2Pc Set Black / One Size","Bra Set",PL23066,2,"PL\23066-BLK-0838.jpg","PL\23066-BLK-0868.jpg"
PL23066-WHT-OS,"Clothing Optional 2Pc Set White / One Size","Bra Set",PL23066,4,"PL\23066-WHT-0977.jpg","PL\23066-WHT-1000.jpg"
PL23067,,"Bra Set",PL23067,4,"PL\23067-BLK-1477"
PL23069-BLK-M/L,"Lace Up Lover 2Pc Bra Set - Black Medium/Large","Bra Set",PL23069,11,"PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4764","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4775.jpg","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4784.jpg","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4801.jpg","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4810.jpg"
PL23069-BLK-S/M,"Lace Up Lover 2Pc Bra Set - Black Small/Medium","Bra Set",PL23069,12,"PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4764","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4775.jpg","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4784.jpg","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4801.jpg","PL\23069-BLK--Laced-Up-Lover-2pc-Bra-Set--4810.jpg"
PL23071-BLK-M/L,"Festival Flirt 2Pc Bra Set - Black Medium/Large","Bra Set",PL23071,11,"PL\23071-BLK-Festival-Flirt-2pc-hoisery-bra-set-5667 (1)","PL\23071-BLK-Festival-Flirt-2pc-hoisery-bra-set-5691.jpg"
PL23071-BLK-S/M,"Festival Flirt 2Pc Bra Set - Black Small/Medium","Bra Set",PL23071,10,"PL\23071-BLK-Festival-Flirt-2pc-hoisery-bra-set-5667 (1)","PL\23071-BLK-Festival-Flirt-2pc-hoisery-bra-set-5691.jpg"
PL23071-GRN-M/L,"Festival Flirt 2Pc Bra Set - Green Medium/Large","Bra Set",PL23071,0,"PL\23071-GRN--Festival-Flirt-2pc-Bra-Set-4938","PL\23071-GRN--Festival-Flirt-2pc-Bra-Set-4962.jpg","PL\23071-GRN--Festival-Flirt-2pc-Bra-Set-4946 (1).jpg"
PL23071-GRN-S/M,"Festival Flirt 2Pc Bra Set - Green Small/Medium","Bra Set",PL23071,0,"PL\23071-GRN--Festival-Flirt-2pc-Bra-Set-4938","PL\23071-GRN--Festival-Flirt-2pc-Bra-Set-4962.jpg","PL\23071-GRN--Festival-Flirt-2pc-Bra-Set-4946 (1).jpg"
PL23071-WHT-M/L,,"Bra Set",PL23071-WHT-M/L,3,"PL\23071 WHT.jpg","PL\23071 WHT BACK.jpg"
PL23071-WHT-S/M,"Festival Flirt 2Pc Bra Set - White Small/Medium","Bra Set",PL23071,3,"PL\23071 WHT.jpg","PL\23071 WHT BACK.jpg"
PL23071X-BLK-1X/2X,"Festival Flirt 2Pc Bra Set - Black 1X/2X","Bra Set",PL23071X,0,"PL\23071X-BLK--Festival-Flirt-2pc-Bra-Set--6572.jpg","PL\23071X-BLK--Festival-Flirt-2pc-Bra-Set--6597.jpg"
PL23071X-BLK-3X/4X,,"Bra Set",PL23071X-BLK-3X/4X,0
PL23071X-GRN-1X/2X,"Festival Flirt 2Pc Bra Set - Green 1X/2X","Bra Set",PL23071X,1,"PL\23071X-GRN--Festival-Flirt-2pc-Bra-Set--6545","PL\23071X-GRN--Festival-Flirt-2pc-Bra-Set--6559.jpg"
PL23071X-GRN-3X/4X,"Festival Flirt 2Pc Bra Set - Green 3X/4X","Bra Set",PL23071X,0,"PL\23071X-GRN--Festival-Flirt-2pc-Bra-Set--6545","PL\23071X-GRN--Festival-Flirt-2pc-Bra-Set--6559.jpg"
PL23072-GLD-M/L,"Lace Up Lover 2Pc Bra Set - Gold Medium/Large","Bra Set",PL23072,9,"PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4687","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4717.jpg","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4720.jpg","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4722.jpg","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4754.jpg"
