stock_code,description,parent_stock_type,parent_stock_code,stock_available
BEV037-WHT-SM,"Logo Elastic LowRise Mesh Brief  / White / Small/Medium",Brief,BEV037,3,"Envy\BEV037-002_01.jpg"
BEV038-WHT-LXL,"Logo Elastic LowRise Mesh Trunk  / White / Large/X-Large",Trunk,BEV038,24,"Envy\BEV038-002_01.jpg"
BEV038-WHT-ML,"Logo Elastic LowRise Mesh Trunk  / White / Medium/Large",Trunk,BEV038,31,"Envy\BEV038-002_01.jpg"
BEV038-WHT-SM,"Logo Elastic LowRise Mesh Trunk  / White / Small/Medium",Trunk,BEV038,33,"Envy\BEV038-002_01.jpg"
BEV041-BLK-LXL,"Microfiber Boxer White Pinstripe  / Black / Large/X-Large",Boxer,BEV041,22,"Envy\BEV041-003_01.jpg"
BEV041-BLK-ML,"Microfiber Boxer White Pinstripe  / Black / Medium/Large",Boxer,BEV041,0,"Envy\BEV041-003_01.jpg"
BEV041-BLK-SM,"Microfiber Boxer White Pinstripe  / Black / Small/Medium",Boxer,BEV041,14,"Envy\BEV041-003_01.jpg"
BEV044-WHT-LXL,"Micro LowRise Logo Elastic Trunk  / White / Large/X-Large",Trunk,BEV044,12,"Envy\BEV044-002_01.jpg"
BEV044-WHT-ML,"Micro LowRise Logo Elastic Trunk  / White / Medium/Large",Trunk,BEV044,12,"Envy\BEV044-002_01.jpg"
BEV044-WHT-SM,"Micro LowRise Logo Elastic Trunk  / White / Small/Medium",Trunk,BEV044,16,"Envy\BEV044-002_01.jpg"
BEV045-BLK-LXL,"Micro LowRise Logo Elastic Boxer  / Black / Large/X-Large",Boxer,BEV045,34,"Envy\BEV045-003_01.jpg"
BEV045-BLK-ML,"Micro LowRise Logo Elastic Boxer  / Black / Medium/Large",Boxer,BEV045,27,"Envy\BEV045-003_01.jpg"
BEV045-BLK-SM,"Micro LowRise Logo Elastic Boxer  / Black / Small/Medium",Boxer,BEV045,41,"Envy\BEV045-003_01.jpg"
BEV045-WHT-LXL,"Micro LowRise Logo Elastic Boxer  / White / Large/X-Large",Boxer,BEV045,44,"Envy\BEV045-002_01.jpg"
BEV045-WHT-ML,"Micro LowRise Logo Elastic Boxer  / White / Medium/Large",Boxer,BEV045,44,"Envy\BEV045-002_01.jpg"
BEV045-WHT-SM,"Micro LowRise Logo Elastic Boxer  / White / Small/Medium",Boxer,BEV045,47,"Envy\BEV045-002_01.jpg"
BEV046-BLK-LXL,"Micro LowRise Logo Athleti Boxer  / Black / Large/X-Large",Boxer,BEV046,25,"Envy\BEV046-003_01.jpg"
BEV046-BLK-ML,"Micro LowRise Logo Athleti Boxer  / Black / Medium/Large",Boxer,BEV046,19,"Envy\BEV046-003_01.jpg"
BEV046-BLK-SM,"Micro LowRise Logo Athleti Boxer  / Black / Small/Medium",Boxer,BEV046,36,"Envy\BEV046-003_01.jpg"
BEV046-WHT-LXL,"Micro LowRise Logo Athleti Boxer  / White / Large/X-Large",Boxer,BEV046,36,"Envy\BEV046-002_01.jpg"
BEV046-WHT-ML,"Micro LowRise Logo Athleti Boxer  / White / Medium/Large",Boxer,BEV046,36,"Envy\BEV046-002_01.jpg"
BEV046-WHT-SM,"Micro LowRise Logo Athleti Boxer  / White / Small/Medium",Boxer,BEV046,39,"Envy\BEV046-002_01.jpg"
BEV049-BLK-LXL,"Logo Elastic LowRise Mesh Trunk  / Black / Large/X-Large",Trunk,BEV049,24,"Envy\E049-BLK_front.jpg"
BEV049-BLK-ML,"Logo Elastic LowRise Mesh Trunk  / Black / Medium/Large",Trunk,BEV049,25,"Envy\E049-BLK_front.jpg"
BEV051-BLK-LXL,"Microfiber Trunk Stripe / Black / Large/X-Large",Trunk,BEV051,22,"Envy\E051-BLK_front.jpg"
BEV051-BLK-ML,"Microfiber Trunk Stripe  / Black / Medium/Large",Trunk,BEV051,4,"Envy\E051-BLK_front.jpg"
BEV051-BLK-SM,"Microfiber Trunk Stripe  / Black / Small/Medium",Trunk,BEV051,15,"Envy\E051-BLK_front.jpg"
BEV052-BLK-LXL,"Microfiber Boxer Stripe  / Black / Large/X-Large",Boxer,BEV052,15,"Envy\E052-BLK_front.jpg"
BEV052-BLK-ML,"Microfiber Boxer Stripe  / Black / Medium/Large",Boxer,BEV052,13,"Envy\E052-BLK_front.jpg"
BEV052-BLK-SM,"Microfiber Boxer Stripe  / Black / Small/Medium",Boxer,BEV052,10,"Envy\E052-BLK_front.jpg"
BEV053-GRY-LXL,"Logo Elastic Boxer Brief  / Grey / Large/X-Large",Brief,BEV053,26,"Envy\E053-GRY_front.jpg"
BEV053-GRY-ML,"Logo Elastic Boxer Brief  / Grey / Medium/Large",Brief,BEV053,21,"Envy\E053-GRY_front.jpg"
BEV053-GRY-SM,"Logo Elastic Boxer Brief  / Grey / Small/Medium",Brief,BEV053,33,"Envy\E053-GRY_front.jpg"
BEV058-BLK-LXL,"Logo Elastic Mesh Sport Trunk  / Black / Large/X-Large",Trunk,BEV058,37,"Envy\E058-BLK_front.jpg"
BEV058-BLK-ML,"Logo Elastic Mesh Sport Trunk  / Black / Medium/Large",Trunk,BEV058,36,"Envy\E058-BLK_front.jpg"
BEV058-BLK-SM,"Logo Elastic Mesh Sport Trunk  / Black / Small/Medium",Trunk,BEV058,36,"Envy\E058-BLK_front.jpg"
BEV060-BLK-LXL,"Microfiber Waffle Trunk  / Black / Large/X-Large",Trunk,BEV060,36,"Envy\E060-BLK_front.jpg"
BEV060-BLK-ML,"Microfiber Waffle Trunk / Black / Medium/Large",Trunk,BEV060,32,"Envy\E060-BLK_front.jpg"
BEV060-BLK-SM,"Microfiber Waffle Trunk  / Black / Small/Medium",Trunk,BEV060,33,"Envy\E060-BLK_front.jpg"
BEV061-BLK-LXL,"Microfiber Waffle Boxer / Black / Large/X-Large",Boxer,BEV061,38,"Envy\E061-BLK_front.jpg"
BEV061-BLK-ML,"Microfiber Waffle Boxer  / Black / Medium/Large",Boxer,BEV061,41,"Envy\E061-BLK_front.jpg"
BEV061-BLK-SM,"Microfiber Waffle Boxer  / Black / Small/Medium",Boxer,BEV061,41,"Envy\E061-BLK_front.jpg"
