stock_code,description,parent_stock_type,parent_stock_code,stock_available
FV26558-BLK-M,"Fever Sweetheart Be Mine Collar & Cuffs Set Bla - Black Medium","Bedroom Costume",FV26558,0,"Fever\26558.jpg"
FV26558-BLK-S,"Fever Sweetheart Be Mine Collar & Cuffs Set Bla - Black Small","Bedroom Costume",FV26558,0,"Fever\26558.jpg"
FV26803,,Bodysuit,FV26803,1,"Fever\26803.jpg"
FV26806,,Bodysuit,FV26806,0,"Fever\26806.jpg"
FV26807,,Bodysuit,FV26807,0,"Fever\26807.jpg"
FV26809,,Bodysuit,FV26809,0,"Fever\26809.jpg"
FV26811,,Bodysuit,FV26811,0,"Fever\26811.jpg"
FV26812,,Bodysuit,FV26812,3,"Fever\26812.jpg"
FV26814,,Bodysuit,FV26814,0,"Fever\26814.jpg"
FV27043-RED-M,"Fever Red Riding Hood Costume Red - Red Medium","Fancy Dress",FV27043,0,"Fever\27043.jpg"
FV27043-RED-S,"Fever Red Riding Hood Costume Red - Red Small","Fancy Dress",FV27043,0,"Fever\27043.jpg"
FV27043-RED-XS,"Fever Red Riding Hood Costume Red - Red Extra Small","Fancy Dress",FV27043,0,"Fever\27043.jpg"
FV27072-BLK-L,"Fever Swashbuckler Costume Black - Black Large","Fancy Dress",FV27072,0,"Fever\27072.jpg"
FV27072-BLK-M,"Fever Swashbuckler Costume Black - Black Medium","Fancy Dress",FV27072,0,"Fever\27072.jpg"
FV27072-BLK-S,"Fever Swashbuckler Costume Black - Black Small","Fancy Dress",FV27072,0,"Fever\27072.jpg"
FV27134,,Tights,FV27134,0,"Fever\27134.jpg"
FV27135,,Tights,FV27135,0,"Fever\27135_A1.jpg"
FV27136,,Tights,FV27136,2,"Fever\27136_A1.jpg"
FV27139,,Tights,FV27139,0,"Fever\27139.jpg"
FV27881,,Eyelash,FV27881,1,"Fever\27881.jpg"
FV27890,,Eyelash,FV27890,0,"Fever\27890.jpg"
FV27894-BLU-L,"Fever Grecian Queen Costume Blue - Blue Large","Fancy Dress",FV27894,0,"Fever\27894_S.jpg","Fever\27894_B.jpg"
FV27894-BLU-M,"Fever Grecian Queen Costume Blue - Blue Medium","Fancy Dress",FV27894,0,"Fever\27894_S.jpg","Fever\27894_B.jpg"
FV27894-BLU-S,"Fever Grecian Queen Costume Blue - Blue Small","Fancy Dress",FV27894,0,"Fever\27894_S.jpg","Fever\27894_B.jpg"
FV28068,,Tutu/Peticoat,FV28068,0,"Fever\28068.jpg"
FV28070,,Tutu/Peticoat,FV28070,0,"Fever\28070.jpg"
FV28351,,Hold-Ups,FV28351,3,"Fever\28351.jpg"
FV28629-BLK-L,"Fever Miss Whiplash Costume Black - Black Large","Fancy Dress",FV28629,1,"Fever\28629_A1.jpg"
FV28629-BLK-M,"Fever Miss Whiplash Costume Black - Black Medium","Fancy Dress",FV28629,1,"Fever\28629_A1.jpg"
FV28629-BLK-S,"Fever Miss Whiplash Costume Black - Black Small","Fancy Dress",FV28629,0,"Fever\28629_A1.jpg"
FV28629-BLK-XS,"Fever Miss Whiplash Costume Black - Black Extra Small","Fancy Dress",FV28629,0,"Fever\28629_A1.jpg"
FV28885,,Hats,FV28885,0,"Fever\28885.jpg"
FV28905-CAM-L,"Fever Army Commando Camouflage - Camouflage Large","Bedroom Costume",FV28905,0,"Fever\28905.jpg"
FV28905-CAM-M,"Fever Army Commando Camouflage - Camouflage Medium","Bedroom Costume",FV28905,0,"Fever\28905.jpg"
FV28905-CAM-S,"Fever Army Commando Camouflage - Camouflage Small","Bedroom Costume",FV28905,0,"Fever\28905.jpg"
FV29269,,Knicker,FV29269,0,"Fever\29269.jpg"
FV29271,,Knicker,FV29271,0,"Fever\29271.jpg"
FV29495-BRN-M,"Fever Tiger Costume Tutu Dress Brown - Brown Medium","Fancy Dress",FV29495,0,"Fever\29495.jpg"
FV29495-BRN-S,"Fever Tiger Costume Tutu Dress Brown - Brown Small","Fancy Dress",FV29495,0,"Fever\29495.jpg"
FV29614,,Gloves,FV29614,0,"Fever\29614.jpg"
FV29629,,Dress,FV29629,0,"Fever\29629_A2.jpg"
FV29650,,Dress,FV29650,0,"Fever\29650_A1.jpg"
FV29787-GRN-M,"Fever Combat Girl Costume Camouflage Green - Green Medium","Fancy Dress",FV29787,0,"Fever\29787.jpg"
FV29787-GRN-S,"Fever Combat Girl Costume Camouflage Green - Green Small","Fancy Dress",FV29787,0,"Fever\29787.jpg"
FV29787-GRN-XS,"Fever Combat Girl Costume Camouflage Green - Green Extra Small","Fancy Dress",FV29787,0,"Fever\29787.jpg"
FV29787-CAM-L,"Fever Combat Girl Costume / Camo / Large","Fancy Dress",FV29787,0
FV30195-BLU-L,"Fever Fairytale Costume with Dress Blue - Blue Large","Fancy Dress",FV30195,0,"Fever\30195.jpg"
FV30195-BLU-M,"Fever Fairytale Costume with Dress Blue - Blue Medium","Fancy Dress",FV30195,0,"Fever\30195.jpg"
FV30195-BLU-S,"Fever Fairytale Costume with Dress Blue - Blue Small","Fancy Dress",FV30195,1,"Fever\30195.jpg"
FV30195-BLU-XS,"Fever Fairytale Costume with Dress Blue - Blue Extra Small","Fancy Dress",FV30195,0,"Fever\30195.jpg"
FV30211-BLK-L,"Fever Mistress Dress Black - Black Large","Bedroom Costume",FV30211,0,"Fever\30211.jpg"
FV30211-BLK-M,"Fever Mistress Dress Black - Black Medium","Bedroom Costume",FV30211,0,"Fever\30211.jpg"
FV30279,,Eyelash,FV30279,0,"Fever\30279.jpg"
FV30306,,Tutu/Peticoat,FV30306,0,"Fever\30306.jpg"
FV30335,,Tutu/Peticoat,FV30335,0,"Fever\30335.jpg"
FV30447-BLK-S,"Fever Nurse Have Mercy Costume Black - Black Small","Fancy Dress",FV30447,0,"Fever\30447.jpg"
FV30462-MUL-M,"Fever 70s Flower Power Costume Multi-Coloured - Multi Medium","Fancy Dress",FV30462,0,"Fever\30462.jpg"
FV30462-MUL-S,"Fever 70s Flower Power Costume Multi-Coloured - Multi Small","Fancy Dress",FV30462,0,"Fever\30462.jpg"
FV30462-MUL-L,"Fever 70s Flower Power Costume Multi-Coloured - Multi Large","Fancy Dress",FV30462,0,"Fever\30462.jpg"
FV30694-LEO-L,"Fever Feline Kitty Leopard Print - Leopard Large","Bedroom Costume",FV30694,0,"Fever\30694.jpg"
FV30694-LEO-S,"Fever Feline Kitty Leopard Print - Leopard Small","Bedroom Costume",FV30694,0,"Fever\30694.jpg"
FV30696-LEO-L,"Fever Feline Wild Cat Leopard Print - Leopard Large","Bedroom Costume",FV30696,1,"Fever\30696.jpg"
FV30696-LEO-M,"Fever Feline Wild Cat Leopard Print - Leopard Medium","Bedroom Costume",FV30696,0,"Fever\30696.jpg"
FV30696-LEO-S,"Fever Feline Wild Cat Leopard Print - Leopard Small","Bedroom Costume",FV30696,0,"Fever\30696.jpg"
FV30731-PNK-L,"Fever Pirate's Treasure Costume Pink - Pink Large","Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30731-PNK-M,"Fever Pirate's Treasure Costume Pink - Pink Medium","Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30731-PNK-S,"Fever Pirate's Treasure Costume Pink - Pink Small","Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30731-PNK-XS,"Fever Pirate's Treasure Costume Pink - Pink Extra Small","Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30759,,Tutu/Peticoat,FV30759,0,"Fever\30759_A1.jpg"
FV30760,,Tutu/Peticoat,FV30760,0,"Fever\30760.jpg"
FV30761,,Tutu/Peticoat,FV30761,0,"Fever\30761.jpg"
FV30819-CAM-M,"Fever Combat Chick Costume Camouflage - Camouflage Medium","Fancy Dress",FV30819,0,"Fever\30819.jpg"
FV30819-CAM-S,"Fever Combat Chick Costume Camouflage - Camouflage Small","Fancy Dress",FV30819,0,"Fever\30819.jpg"
FV30819-CAM-XS,"Fever Combat Chick Costume Camouflage - Camouflage Extra Small","Fancy Dress",FV30819,0,"Fever\30819.jpg"
FV30886-RED-L,"Fever Wicked Devil Costume Red - Red Large","Fancy Dress",FV30886,0,"Fever\30886.jpg"
FV30886-RED-S,"Fever Wicked Devil Costume Red - Red Small","Fancy Dress",FV30886,0,"Fever\30886.jpg"
FV30886-RED-M,"Fever Wicked Devil Costume Red - Red Medium","Fancy Dress",FV30886,1,"Fever\30886.jpg"
FV31067,,Hotpants,FV31067,0,"Fever\31067_A1.jpg"
FV31126-BLK-M,"Fever Knockout Costume Black - Black Medium","Fancy Dress",FV31126,0,"Fever\31126.jpg"
FV31126-BLK-S,"Fever Knockout Costume Black - Black Small","Fancy Dress",FV31126,0,"Fever\31126.jpg"
FV31212-BLK-L,"Fever Flirty French Maid Costume Black - Black Large","Fancy Dress",FV31212,0,"Fever\31212.jpg"
FV31212-BLK-M,"Fever Flirty French Maid Costume Black - Black Medium","Fancy Dress",FV31212,0,"Fever\31212.jpg"
FV31212-BLK-S,"Fever Flirty French Maid Costume Black - Black Small","Fancy Dress",FV31212,0,"Fever\31212.jpg"
FV31448-BLK-M,"Fever FBI Flirt Costume Black - Black Medium","Fancy Dress",FV31448,0,"Fever\31448.jpg"
FV31448-BLK-S,"Fever FBI Flirt Costume Black - Black Small","Fancy Dress",FV31448,0,"Fever\31448.jpg"
FV31868,,Tutu/Peticoat,FV31868,0,"Fever\31868.jpg"
FV31869,,Tutu/Peticoat,FV31869,0,"Fever\31869.jpg"
FV31901-BLK-L,"Fever Corrupt Cop Costume Black - Black Large","Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31901-BLK-M,"Fever Corrupt Cop Costume Black - Black Medium","Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31901-BLK-S,"Fever Corrupt Cop Costume Black - Black Small","Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31901-BLK-XS,"Fever Corrupt Cop Costume Black - Black Extra Small","Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31969-BLK-L,"Fever Skeleton Costume Black - Black Large","Fancy Dress",FV31969,0,"Fever\31969.jpg"
FV31969-BLK-S,"Fever Skeleton Costume Black - Black Small","Fancy Dress",FV31969,0,"Fever\31969.jpg"
FV31969-BLK-XS,"Fever Skeleton Costume Black - Black Extra Small","Fancy Dress",FV31969,0,"Fever\31969.jpg"
FV32036-BLK-M,"Fever Naughty Cop Black - Black Medium","Fancy Dress",FV32036,0,"Fever\32036.jpg"
FV32036-BLK-S,"Fever Naughty Cop Black - Black Small","Fancy Dress",FV32036,0,"Fever\32036.jpg"
FV32042-BRN-M,"Fever Pocahontas Costume Brown - Brown Medium","Fancy Dress",FV32042,0,"Fever\32042.jpg"
FV32042-BRN-S,"Fever Pocahontas Costume Brown - Brown Small","Fancy Dress",FV32042,0,"Fever\32042.jpg"
FV32249-PNK-M,"Playtime Clown Costume Pink - Pink Medium","Fancy Dress",FV32249,0,"Fever\32249.jpg"
FV32330,,Eyelash,FV32330,1,"Fever\32330.jpg"
FV32335,,Tutu/Peticoat,FV32335,0,"Fever\32335.jpg"
FV32744-PUR-S,"Fever Flapper Costume Purple - Purple Small","Fancy Dress",FV32744,0,"Fever\32744.jpg"
FV32744-PUR-M,"Fever Flapper Costume Purple - Purple Medium","Fancy Dress",FV32744,0,"Fever\32744.jpg"
FV32801-GRN-M,"Fever Outlaw Warrior Costume Green - Green Medium","Fancy Dress",FV32801,0,"Fever\32801.jpg"
FV32801-GRN-S,"Fever Outlaw Warrior Costume Green - Green Small","Fancy Dress",FV32801,0,"Fever\32801.jpg"
FV32801-GRN-XS,"Fever Outlaw Warrior Costume Green - Green Extra Small","Fancy Dress",FV32801,0,"Fever\32801.jpg"
FV32927,,Headband,FV32927,0,"Fever\32927.jpg"
FV33010,,Tutu/Peticoat,FV33010,0,"Fever\33010.jpg"
FV33182-BRN-M,"Red Hot Reindeer Costume Brown - Brown Medium","Fancy Dress",FV33182,0,"Fever\33182.jpg"
FV33258-BRN-L,"Fever Gladiator Costume Brown - Brown Large","Fancy Dress",FV33258,0,"Fever\33258.jpg"
FV33258-BRN-M,"Fever Gladiator Costume Brown - Brown Medium","Fancy Dress",FV33258,0,"Fever\33258.jpg"
FV33258-BRN-S,"Fever Gladiator Costume Brown - Brown Small","Fancy Dress",FV33258,0,"Fever\33258.jpg"
FV33278-RED-S,"Fever Deluxe Devil Costume Red - Red Small","Fancy Dress",FV33278,0,"Fever\33278.jpg"
FV33469-SLV-M,"Fever Space Cadet Costume Silver Metallic - Silver Medium","Fancy Dress",FV33469,0,"Fever\33469.jpg"
FV33469-SLV-S,"Fever Space Cadet Costume Silver Metallic - Silver Small","Fancy Dress",FV33469,0,"Fever\33469.jpg"
FV33623,,Hats,FV33623,0,"Fever\33623.jpg"
FV33682,,Tutu/Peticoat,FV33682,0,"Fever\33682_A1.jpg"
FV33794-BRN-L,"Fever Wild West Costume Brown - Brown Large","Fancy Dress",FV33794,0,"Fever\33794.jpg"
FV33794-BRN-M,"Fever Wild West Costume Brown - Brown Medium","Fancy Dress",FV33794,0,"Fever\33794.jpg"
FV33794-BRN-S,"Fever Wild West Costume Brown - Brown Small","Fancy Dress",FV33794,0,"Fever\33794.jpg"
FV33820,,Eyelash,FV33820,0,"Fever\33820.jpg"
FV33868-BRN-M,"Fever Reindeer Costume Tutu Dress Brown - Brown Medium","Fancy Dress",FV33868,0,"Fever\33868.jpg"
FV33868-BRN-S,"Fever Reindeer Costume Tutu Dress Brown - Brown Small","Fancy Dress",FV33868,0,"Fever\33868.jpg"
FV33868-BRN-XS,"Fever Reindeer Costume Tutu Dress Brown - Brown Extra Small","Fancy Dress",FV33868,0,"Fever\33868.jpg"
FV33869,,Bodysuit,FV33869,0,"Fever\33869.jpg"
FV33955,,Tutu/Peticoat,FV33955,0,"Fever\33955.jpg"
FV33957,,Tutu/Peticoat,FV33957,0,"Fever\33957.jpg"
FV33958,,Tutu/Peticoat,FV33958,0,"Fever\33958.jpg"
