stock_code,parent_stock_type,parent_stock_code,stock_available
MSPAK220-BLK-L/XL,Bondage,MSPAK220,1,"Magic Silk\PAK-220ST.jpg","Magic Silk\PAK-220ST_Back.jpg"
MSPAK220-BLK-S/M,Bondage,MSPAK220,2,"Magic Silk\PAK-220ST.jpg","Magic Silk\PAK-220ST_Back.jpg"
MSPAK220-BLK-QUEEN,Bondage,MSPAK220,4,"Magic Silk\PAK-220ST_QS .jpg","Magic Silk\PAK-220ST_ALT_QS .jpg","Magic Silk\PAK-220ST_ALT2_QS .jpg","Magic Silk\PAK-220ST_Back_QS .jpg"
MSPAK221-BLK-L/XL,Bondage,MSPAK221,2,"Magic Silk\PAK-221ST.jpg","Magic Silk\PAK-221ST_Back.jpg"
MSPAK221-BLK-S/M,Bondage,MSPAK221,1,"Magic Silk\PAK-221ST.jpg","Magic Silk\PAK-221ST_Back.jpg"
MSPAK221-BLK-QUEEN,Bondage,MSPAK221,4,"Magic Silk\PAK-221ST_QS .jpg","Magic Silk\PAK-221ST_ALT_QS .jpg","Magic Silk\PAK-221ST_ALT2_QS .jpg","Magic Silk\PAK-221ST_Back_QS .jpg"
MSPAK229-BLK-L/XL,Bondage,MSPAK229,6,"Magic Silk\PAk-229ST.jpg","Magic Silk\PAK-229ST_Back.jpg"
MSPAK229-BLK-S/M,Bondage,MSPAK229,6,"Magic Silk\PAk-229ST.jpg","Magic Silk\PAK-229ST_Back.jpg"
MSPAK229-BLK-QUEEN,Bondage,MSPAK229,3,"Magic Silk\PAK-229ST_QS .jpg","Magic Silk\PAK-229ST_ALT_QS .jpg","Magic Silk\PAK-229ST_ALT2_QS .jpg","Magic Silk\PAK-229ST_Back_QS .jpg"
MSPAK233-BLK-L/XL,Bondage,MSPAK233,2,"Magic Silk\PAK-233ST.jpg","Magic Silk\PAK-233ST_Back.jpg"
MSPAK235-BLK-S/M,Bondage,MSPAK235,1,"Magic Silk\PAK-235ST.jpg","Magic Silk\PAK-235ST_Back.jpg"
MSPAK235-BLK-L/XL,Bondage,MSPAK235,4,"Magic Silk\PAK-235ST.jpg","Magic Silk\PAK-235ST_Back.jpg"
MSPAK236-BLK-QUEEN,Bondage,MSPAK236,4,"Magic Silk\PAK-236ST_QS .jpg","Magic Silk\PAK-236ST_ALT_QS .jpg","Magic Silk\PAK-236ST_Back_QS .jpg"
MSPAK236-BLK-L/XL,Bondage,MSPAK236,5,"Magic Silk\PAK-236ST.jpg","Magic Silk\PAK-236ST_Back.jpg"
MSPAK236-BLK-S/M,Bondage,MSPAK236,1,"Magic Silk\PAK-236ST.jpg","Magic Silk\PAK-236ST_Back.jpg"
MSPAK237-BLK-S/M,Bondage,MSPAK237,11,"Magic Silk\PAK-237ST.jpg","Magic Silk\PAK-237ST_Back.jpg"
MSPAK237-BLK-L/XL,Bondage,MSPAK237,8,"Magic Silk\PAK-237ST.jpg","Magic Silk\PAK-237ST_Back.jpg"
MSPAK238-BLK-QUEEN,Bondage,MSPAK238,3,"Magic Silk\PAK-238ST_QS .jpg","Magic Silk\PAK-238ST_ALT_QS .jpg","Magic Silk\PAK-238ST_ALT2_QS .jpg","Magic Silk\PAK-238ST_Back_QS .jpg"
MSPAK238-BLK-L/XL,Bondage,MSPAK238,4,"Magic Silk\PAK-238ST.jpg","Magic Silk\PAK-238ST_Back.jpg"
MSPAK238-BLK-S/M,Bondage,MSPAK238,2,"Magic Silk\PAK-238ST.jpg","Magic Silk\PAK-238ST_Back.jpg"
MSPAK239-BLK-S/M,Bondage,MSPAK239,8,"Magic Silk\PAK-239ST.jpg","Magic Silk\PAK-239ST_Back.jpg"
MSPAK239-BLK-L/XL,Bondage,MSPAK239,4,"Magic Silk\PAK-239ST.jpg","Magic Silk\PAK-239ST_Back.jpg"
MSPAK239-BLK-QUEEN,Bondage,MSPAK239,5,"Magic Silk\PAK-239ST_QS .jpg","Magic Silk\PAK-239ST_ALT_QS .jpg","Magic Silk\PAK-239ST_ALT2_QS .jpg","Magic Silk\PAK-239ST_Back_QS .jpg"
MSPAK240-BLK-S/M,Bondage,MSPAK240,2,"Magic Silk\PAK-240ST.jpg","Magic Silk\PAK-240ST_Back.jpg"
MSPAK240-BLK-L/XL,Bondage,MSPAK240,6,"Magic Silk\PAK-240ST.jpg","Magic Silk\PAK-240ST_Back.jpg"
MSPAK240-BLK-QUEEN,Bondage,MSPAK240,1,"Magic Silk\PAK-240ST_QS .jpg","Magic Silk\PAK-240ST_ALT_QS .jpg","Magic Silk\PAK-240ST_Back_QS .jpg"
MSPAK241-BLK-QUEEN,Bondage,MSPAK241,2,"Magic Silk\PAK-241ST_QS .jpg","Magic Silk\PAK-241ST_ALT_QS .jpg","Magic Silk\PAK-241ST_Back_QS .jpg"
MSPAK242-BLK-QUEEN,Bondage,MSPAK242,1,"Magic Silk\PAK-242ST_QS .jpg","Magic Silk\PAK-242ST_ALT_QS .jpg","Magic Silk\PAK-242ST_ALT2_QS .jpg","Magic Silk\PAK-242ST_Back_QS .jpg"
MSPAK242-BLK-L/XL,Bondage,MSPAK242,4,"Magic Silk\PAK-242ST.jpg","Magic Silk\PAK-242ST_Back.jpg"
MSPAK242-BLK-S/M,Bondage,MSPAK242,6,"Magic Silk\PAK-242ST.jpg","Magic Silk\PAK-242ST_Back.jpg"
MSPAK243-BLK-L/XL,Bondage,MSPAK243,7,"Magic Silk\PAK-243ST.jpg","Magic Silk\PAK-243ST_Back.jpg"
MSPAK243-BLK-S/M,Bondage,MSPAK243,5,"Magic Silk\PAK-243ST.jpg","Magic Silk\PAK-243ST_Back.jpg"
