stock_code,parent_stock_type,parent_stock_code,stock_available
MP153076-RED-XL,Shorts,MP153076,1,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP153076-ROY-L,Shorts,MP153076,2,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-ROY-M,Shorts,MP153076,1,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-ROY-S,Shorts,MP153076,2,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-ROY-XL,Shorts,MP153076,1,"Male_Power\153076RO.jpg","Male_Power\153076RO_Back.jpg"
MP153076-BLK-L,Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-BLK-M,Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-BLK-S,Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-BLK-XL,Shorts,MP153076,0,"Male_Power\153076BK.jpg","Male_Power\153076BK_Back.jpg"
MP153076-RED-M,Shorts,MP153076,0,"Male_Power\153076RE.jpg","Male_Power\153076RE_Back.jpg"
MP15311C-BLK-S,Shorts,MP15311C,5,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-BLK-M,Shorts,MP15311C,1,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-BLK-L,Shorts,MP15311C,7,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-BLK-XL,Shorts,MP15311C,5,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-WHT-S,Shorts,MP15311C,3,"Male_Power\15311CWH.jpg"
MP157207-GRY-XL,Shorts,MP157207,3,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP157207-WNE-L,Shorts,MP157207,2,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-WNE-M,Shorts,MP157207,3,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-WNE-S,Shorts,MP157207,2,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-WNE-XL,Shorts,MP157207,3,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-GRY-L,Shorts,MP157207,0,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP157207-GRY-M,Shorts,MP157207,0,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP157207-GRY-S,Shorts,MP157207,0,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP16311C-WHT-L/XL,Shorts,MP16311C,3,"Male_Power\16311CWH.jpg","Male_Power\16311CWH_Back.jpg"
MP16311C-BLK-L/XL,Shorts,MP16311C,3,"Male_Power\16311CBK.jpg","Male_Power\16311CBK_Back.jpg"
MP16311C-BLK-S/M,Shorts,MP16311C,3,"Male_Power\16311CBK.jpg","Male_Power\16311CBK_Back.jpg"
MP16311C-WHT-S/M,Shorts,MP16311C,3,"Male_Power\16311CWH.jpg","Male_Power\16311CWH_Back.jpg"
MP163194-CRL-L/XL,Shorts,MP163194,2,"Male_Power\163194CR.jpg","Male_Power\163194CR_Back.jpg"
MP163194-PNK-S/M,Shorts,MP163194,2,"Male_Power\163194PK.jpg","Male_Power\163194PK_Back.jpg"
MP163194-PNK-L/XL,Shorts,MP163194,2,"Male_Power\163194PK.jpg","Male_Power\163194PK_Back.jpg"
MP163194-TRQ-S/M,Shorts,MP163194,3,"Male_Power\163194TQ.jpg","Male_Power\163194TQ_Back'.jpg"
MP163194-CRL-S/M,Shorts,MP163194,0,"Male_Power\163194CR.jpg","Male_Power\163194CR_Back.jpg"
MP163194-TRQ-L/XL,Shorts,MP163194,0,"Male_Power\163194TQ.jpg","Male_Power\163194TQ_Back'.jpg"
MP16411C-BLK-L/XL,Shorts,MP16411C,2,"Male_Power\16411CBK_Censored.jpg","Male_Power\16411CBK_Back.jpg"
MP16411C-BLK-S/M,Shorts,MP16411C,1,"Male_Power\16411CBK_Censored.jpg","Male_Power\16411CBK_Back.jpg"
MP167004-BLK-S/M,Shorts,MP167004,2,"Male_Power\167004BK.jpg","Male_Power\167004BK_Back.jpg"
MP167004-BLK-L/XL,Shorts,MP167004,2,"Male_Power\167004BK.jpg","Male_Power\167004BK_Back.jpg"
MP169004-BLK-L/XL,Boxer,MP169004,2,"Male_Power\169004BK.jpg","Male_Power\169004BK_Back.jpg"
MP170004,Shorts,MP170004,0,"Male_Power\170004BK.jpg","Male_Power\170004BK_Back.jpg"
MP176178-BLK-L/XL,G-String,MP176178,1,"Male_Power\176178BK.jpg","Male_Power\176178BK_Back.jpg"
MP176178-BLK-S/M,G-String,MP176178,0,"Male_Power\176178BK.jpg","Male_Power\176178BK_Back.jpg"
MP178178-BLK-S/M,Shorts,MP178178,3,"Male_Power\178178BK.jpg","Male_Power\178178BK_Back.jpg"
MP178178-BLK-L/XL,Shorts,MP178178,1,"Male_Power\178178BK.jpg","Male_Power\178178BK_Back.jpg"
MP300003-BLK-L/XL,Brief,MP300003,3,"Male_Power\300003BK.jpg","Male_Power\300003BK_Back.jpg"
MP301207-WNE-L/XL,Brief,MP301207,4,"Male_Power\301207WI.jpg","Male_Power\301207WI_Back.jpg"
MP301207-WNE-S/M,Brief,MP301207,3,"Male_Power\301207WI.jpg","Male_Power\301207WI_Back.jpg"
MP309178-BLK-L/XL,Thong,MP309178,0,"Male_Power\309178BK.jpg","Male_Power\309178BK_Back.jpg"
MP309178-BLK-S/M,Thong,MP309178,0,"Male_Power\309178BK.jpg","Male_Power\309178BK_Back.jpg"
MP310004-BLK-L/XL,Thong,MP310004,1,"Male_Power\310004BK.jpg","Male_Power\310004BK_Back.jpg"
MP310004-BLK-S/M,Thong,MP310004,2,"Male_Power\310004BK.jpg","Male_Power\310004BK_Back.jpg"
MP31011C-BLK-S/M,Bikini,MP31011C,2,"Male_Power\31011CBK.jpg","Male_Power\31011CBK_Back.jpg"
MP31011C-BLK-L/XL,Bikini,MP31011C,3,"Male_Power\31011CBK.jpg","Male_Power\31011CBK_Back.jpg"
MP340004,G-String,MP340004,0,"Male_Power\340004BK.jpg","Male_Power\340004BK_Back.jpg"
MP347238-BLU/BLK-S/M,Jock,MP347238,5,"Male_Power\347238BK.jpg","Male_Power\347238BK Back.jpg"
MP347238-BLU/BLK-L/XL,Jock,MP347238,4,"Male_Power\347238BK.jpg","Male_Power\347238BK Back.jpg"
MP370004-BLK-S,Jock,MP370004,1,"Male_Power\370004BK.jpg","Male_Power\370004BK_Back.jpg"
